id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6594526,8 pers. kamer Ambassador Antwerpen,12559122,Be-Housing,,Haringrode,51.208393807544255,4.422239384904138,Entire home/apt,150,1,1,2015-09-13,1,8,192
2251990,New near Central Station ,11016840,Maarten,,Haringrode,51.208031548127494,4.4223260702941625,Entire home/apt,85,2,25,2015-08-28,2.19,1,363
5891738,Vivian's sweet home,1820186,Fronk & Lieve,,Haringrode,51.20158781363499,4.417569017630393,Entire home/apt,35,7,1,2015-05-08,0.20,6,353
5726743,Cosy boho apartment in Antwerp,9838294,Elke,,Haringrode,51.20201133860845,4.426577535294601,Entire home/apt,65,2,4,2015-08-22,0.66,1,365
458757,Castle Suite with Private Wellness,2160916,Francis,,Haringrode,51.2019815365896,4.420127343525372,Private room,85,2,59,2015-09-19,1.44,2,350
7520843,Gezellig zonnig huisje,4971372,Hannah,,Haringrode,51.202352125854624,4.42720490522797,Entire home/apt,50,2,1,2015-08-12,0.57,1,337
6168006,house with city garden Antwerp,20266678,Elke,,Haringrode,51.2029913677115,4.424947118347407,Entire home/apt,160,2,1,2015-05-17,0.21,1,283
7630221,Bright apartment with amazing view,3855037,Kristof,,Haringrode,51.207209725773424,4.420282810962743,Entire home/apt,53,3,3,2015-09-07,1.64,1,39
2792584,Spacious room in car-free street ,366948,Liesbet,,Haringrode,51.202210047725536,4.414413048201075,Private room,50,1,89,2015-09-27,5.03,1,361
4181829,Charmant appartement in Zurenborg,17521491,Wim,,Haringrode,51.20180808299584,4.42942342784494,Entire home/apt,75,2,2,2015-05-25,0.39,1,365
2607851,Authentic house in great area,13154935,Chloé,,Haringrode,51.20365228998908,4.429516687102162,Private room,30,2,3,2015-09-26,0.18,1,244
3123638,Authentic loft in a beautifull park,15865713,Klara,,Haringrode,51.201557265455335,4.4263596526131606,Entire home/apt,150,4,2,2015-04-06,0.15,1,267
5027767,Charming House with garden,3042817,Maarten,,Haringrode,51.20143783652209,4.422449033215472,Entire home/apt,78,2,7,2015-09-13,2.31,1,319
5047962,Historical place close to the Jane,12309348,Kristina,,Haringrode,51.203545533355964,4.4240988372453245,Private room,62,1,14,2015-09-06,1.74,1,315
4163253,Antwerp Loft,11592198,Fred,,Haringrode,51.201316218289136,4.423680723910684,Entire home/apt,97,1,62,2015-09-28,5.11,1,343
435000,Castle Apartment & private Wellness,2160916,Francis,,Haringrode,51.20133717960466,4.418548773104341,Entire home/apt,250,2,22,2014-08-04,0.56,2,356
213985,"Cosy, retro & near the city centre",1104077,Katrien,,Haringrode,51.20500143188442,4.421854069322534,Private room,40,7,2,2013-07-05,0.07,1,365
7729590,Double room in Spacious house,2296760,Alexandra,,Haringrode,51.20293762586993,4.41825749461326,Private room,41,1,1,2015-08-16,0.61,1,362
7017194,new parkappartment  for yourselves,36780088,Kamalia,,Haringrode,51.203333441493754,4.422598367034663,Entire home/apt,140,1,0,,,1,365
1471200,Luxurious and quiet B&B/apartment,7876642,Koosje,,Haringrode,51.203860413679365,4.420001011238484,Entire home/apt,78,2,40,2015-08-17,1.65,1,307
307424,Large double room near city center,1569958,Ingrid,,Haringrode,51.203012326622854,4.415209658907096,Private room,30,1,156,2015-09-20,4.21,1,340
6519504,Unique panorama riverside apartment,34093768,Greet,,Linkeroever,51.221365833384716,4.387657955879236,Entire home/apt,80,2,6,2015-08-31,2.02,1,354
772842,Stay in a designers place & donate,4050173,Daisy,,Linkeroever,51.217747319443056,4.384340580948302,Entire home/apt,81,1,54,2015-08-08,1.62,1,339
5981307,Nice appartment with amazing view,31054845,Niels,,Linkeroever,51.232725815897155,4.384301005845737,Entire home/apt,130,2,0,,,1,365
5124747,"Big, light and friendly appartement",17286716,Katrin,,Linkeroever,51.22179150171286,4.379714353078518,Entire home/apt,43,3,4,2015-09-15,0.78,1,283
6831404,RIJHUIS MET ZWEMBAD BUITENWIJK ANTW,35779703,Connie,,Deurne Zuid Oost,51.19787991601738,4.467190575278201,Entire home/apt,160,1,1,2015-07-26,0.43,1,85
4698085,Cosy roof floor apartment,24286448,Jan,,Deurne Zuid Oost,51.20552036978084,4.477534715345746,Private room,35,1,2,2015-08-16,0.70,1,27
5789730,Back to Beck,30038566,Marleen,,Deurne Zuid Oost,51.196121104317825,4.461669070593296,Entire home/apt,79,1,11,2015-08-30,1.81,1,343
3710876,comfortable room,18917692,Sam,,Dam,51.23242463461382,4.424611585572402,Shared room,30,1,5,2015-08-21,0.79,1,365
7851130,Ruim duplex/dakappartement,28445906,Liam,,Dam,51.23259562038778,4.423265681010837,Entire home/apt,70,1,3,2015-09-14,1.88,1,70
6721982,Vibrant Park Spoor Noord,35139959,Dominik,,Dam,51.2320998165045,4.424670526774829,Entire home/apt,50,3,2,2015-08-13,0.73,1,300
156181,Private duplex room in city center,603038,Laura,,Amandus - Atheneum,51.2207403167847,4.41936950742262,Private room,45,2,102,2015-09-27,2.03,1,187
8587634,A room with own shower and kitchen,32817557,Kukumaria,,Amandus - Atheneum,51.22327731656749,4.418946924264395,Private room,30,1,0,,,1,359
4086826,Cheap & Cosy room in Antwerp,21199139,Willem,,Amandus - Atheneum,51.21867787780385,4.429194677461476,Private room,30,2,6,2015-01-18,0.49,1,209
1296599,Charming flat in typical manorhouse,16436,Eline,,Amandus - Atheneum,51.22884195192221,4.417566437363466,Entire home/apt,40,3,11,2015-08-02,0.41,1,0
5834757,Appartement @ MAS-Park Spoor Noord,10775550,Frederic,,Amandus - Atheneum,51.2285737586223,4.415217582938434,Entire home/apt,90,1,12,2015-09-27,1.98,1,345
584305,entire artist apartment Antwerp,1718830,Sachli,,Amandus - Atheneum,51.2236296251691,4.420258445194615,Entire home/apt,90,1,21,2015-09-27,0.80,2,321
2456278,Studio City Apartments Antwerpen,12559122,Be-Housing,,Amandus - Atheneum,51.22334633058496,4.419951273171467,Entire home/apt,59,1,4,2015-01-02,0.29,8,208
2455947,Large Studio - Budget Flats Antwerp,12559122,Be-Housing,,Amandus - Atheneum,51.222745574452645,4.419959750600608,Entire home/apt,52,1,3,2015-04-23,0.17,8,211
2762341,Comfortable studio downtown Antwerp,5398498,Martine,,Amandus - Atheneum,51.22221762445251,4.417090263344493,Entire home/apt,48,4,1,2014-04-22,0.06,1,272
2456072,Large Studio Condo Gardens Antwerp,12559122,Be-Housing,,Amandus - Atheneum,51.22757038765292,4.416911931955839,Entire home/apt,60,1,7,2015-05-26,0.40,8,212
5286670,Appartement in hartje Antwerpen,22998355,Lotte,,Amandus - Atheneum,51.22441323121706,4.422739720468356,Entire home/apt,75,1,5,2015-07-28,0.65,1,91
1224758,City view apartment,4025181,Gert,,Amandus - Atheneum,51.224823466997655,4.419239318465692,Entire home/apt,89,4,6,2014-04-23,0.23,1,361
933981,Charming room in the centre,4262864,Charlotte,,Amandus - Atheneum,51.22250742700619,4.418593862432208,Entire home/apt,58,7,6,2013-12-31,0.19,1,345
