id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
665257,"Lovely cabin, great Asheville spot",2600734,Jack,28806,35.59078366342912,-82.59146636997585,Entire home/apt,105,7,47,2015-08-05,1.06,1,326
2746729,Glamping w HOT TUB + AC!,4295819,Joanna And Josh,28806,35.5849679090387,-82.63219899642932,Entire home/apt,125,2,65,2016-03-29,2.69,4,228
6919450,"Good size bedroom,  private",36223353,Diana,28806,35.62659989827466,-82.63761794784351,Private room,45,1,0,,,1,364
12286328,Mixed Dorm,746673,BonPaul,28806,35.57915861434203,-82.59639206632468,Shared room,24,1,0,,,6,361
156926,Mixed Dorm Bunk at BPS Hostel,746673,BonPaul,28806,35.577755335851116,-82.5949955466383,Shared room,24,1,114,2016-04-07,2.02,6,353
3767793,Modern Home - Views - HOT TUB,9385592,Kelsey,28806,35.635953066770654,-82.649397506254,Entire home/apt,105,2,24,2016-03-25,1.15,3,337
5927700,Bright Suite with Sunroom,27672030,Jaclynn,28806,35.58987845895937,-82.58580023698586,Private room,65,1,98,2016-04-15,7.95,1,339
6698737,"Serene, spacious, cozy and clean!",29622653,Kelly,28806,35.575505673568806,-82.59314187894729,Private room,75,1,50,2016-04-17,4.67,1,337
7966916,West Asheville top floor sleeps 3,14686944,Jenifer,28806,35.57169346033714,-82.58846327828371,Private room,75,2,30,2016-04-17,4.48,1,109
2254521,The Mimosa Room,546222,Martha,28806,35.56892841641057,-82.56834178569086,Private room,65,1,16,2016-01-30,0.60,1,262
11392366,Eclectic Room with Jacuzzi tub,1320865,Cara,28806,35.575915833791704,-82.57173731775175,Private room,45,1,9,2016-04-17,5.63,1,87
3781780,West Asheville Bound,19403133,Richard,28806,35.57588648186341,-82.58967470239428,Private room,45,2,40,2016-04-10,1.95,1,365
7132603,Squash House,13467372,"Jamie, Bri, And Layne",28806,35.590795690780666,-82.58766041489926,Private room,80,1,21,2016-04-17,2.14,1,363
12245300,Bedroom in West Asheville Bungalow,9718884,Sally,28806,35.58066325800552,-82.57247253407427,Private room,60,1,0,,,1,156
10700627,Villa in W. Asheville near Downtown,47803024,Elizabeth,28806,35.58157168403736,-82.57057998272248,Private room,57,1,0,,,1,0
3645277,Cozy Cabin Studio Apartment,8260778,Patch,28806,35.57446578233383,-82.57383874877281,Private room,85,1,30,2016-02-15,1.41,2,334
9691595,artful room and private bath,2363511,Angela,28806,35.5821729989749,-82.58981044303562,Private room,50,1,0,,,2,339
1493307,West Asheville Private Bed and Bath,7981022,Walter,28806,35.5733327134815,-82.57440660089063,Private room,58,2,29,2015-08-18,1.24,2,308
4937473,Close to everything!!!!!,19133972,Andrea,28806,35.586271947583434,-82.5765590483471,Private room,110,1,2,2015-03-12,0.13,2,365
7712679,400+ REVS Apt #7 in Artsy W ASHV!,940569,Cathy,28806,35.58288040477871,-82.59084852615322,Entire home/apt,65,7,5,2016-04-05,0.68,6,180
6054250,the rad pad,1826173,Meg,28806,35.5751723623533,-82.5782665442601,Entire home/apt,111,1,102,2016-04-18,8.38,1,198
6177422,"Great location, so cute and cozy",32045149,Katie And Jason,28806,35.587412485905546,-82.57695462824034,Entire home/apt,125,3,46,2016-04-18,4.02,1,279
612660,Charming Bungalow - Great Location,3039083,Chloe,28806,35.5790126829053,-82.58886836723917,Entire home/apt,105,3,52,2016-02-12,1.16,2,289
4764715,West AVL SCENT FREE Green Getaway,3441402,Susan,28806,35.57338566222275,-82.57340113161736,Entire home/apt,88,2,99,2016-04-17,6.24,1,301
11284356,Cozy Log Cabin near downtown,58951814,Xavier,28806,35.57050277726989,-82.57066649263818,Entire home/apt,175,2,7,2016-04-18,3.96,1,15
8282917,Cozy River Arts/ W. Asheville Apt.,12054902,Amber,28806,35.58203971578514,-82.57330117487005,Entire home/apt,96,2,36,2016-04-12,5.00,1,312
1785262,Bright Efficiency in West Asheville,5564999,Breccia,28806,35.587132102859215,-82.57521237991477,Entire home/apt,85,2,111,2016-04-17,3.70,2,68
11653712,Super Cool West Asheville Condo,21260531,Tracey,28806,35.579070320014786,-82.58772591880164,Entire home/apt,80,1,1,2016-04-11,1,1,296
5131525,"380 Reviews Apt #5, 
Artsy W ASHV!",940569,Cathy,28806,35.578677940252106,-82.5875088928064,Entire home/apt,101,3,12,2016-04-04,0.93,6,161
5354494,Cute 2 BR-Heart of Hip W. Asheville,27754937,Lauryl,28806,35.57472421283494,-82.59005975485161,Entire home/apt,99,2,46,2016-02-01,3.26,1,51
12250733,West AVL Urban Retreat near Park,6773853,Ricky,28806,35.569205840647264,-82.57358400134947,Entire home/apt,145,1,2,2016-04-21,2,1,52
3741771,Urban Oasis,2392127,David And Melissa,28806,35.57964852506008,-82.58172417439764,Entire home/apt,115,1,127,2016-04-17,6.33,2,271
9756931,Walkable West Asheville Hideaway,34112754,Rebecca,28806,35.5757297680022,-82.58632292493552,Entire home/apt,125,2,1,2015-12-27,0.26,1,113
6480745,One block from Haywood Road,6074062,Mellissa,28806,35.57298399342843,-82.5899030991391,Entire home/apt,99,2,38,2016-04-05,3.57,3,307
4662490,West Asheville Couple's Retreat,18085000,Emily,28806,35.58205286272715,-82.59245587983143,Entire home/apt,99,2,6,2016-04-18,0.37,1,1
4830661,Dog Friendly West Asheville Cottage,9462156,Kathleen,28806,35.58013861241607,-82.57741983373724,Entire home/apt,120,2,40,2016-04-12,2.51,1,4
8895397,Cozy 2 bedroom. Short walk to WAVL,2661590,Kelly,28806,35.58394447967114,-82.59242675390009,Entire home/apt,135,2,21,2016-03-26,3.28,1,342
1332684,Sweet Studio - Walk West Asheville,2799158,Kari,28806,35.58339957235773,-82.59126095760382,Entire home/apt,90,2,176,2016-04-11,5.40,2,324
2454666,The Hideaway in West Asheville,10240937,Joe,28806,35.579427062067744,-82.58681577704459,Entire home/apt,140,2,60,2016-03-20,2.37,1,298
6599654,Artful Home in West Asheville,2363511,Angela,28806,35.582941909644674,-82.58863230092813,Entire home/apt,120,1,28,2016-04-11,3.57,2,337
2761822,Woodsy Retreat In Town,4752708,James,28806,35.58097185051925,-82.57643285743804,Entire home/apt,279,2,44,2016-03-30,1.82,1,13
