id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
866332,For the quite global individualist,4551377,Sabine,Pankow,Blankenfelde/Niederschönhausen,52.587891832640366,13.394384211348688,Private room,37,2,3,2014-05-19,0.12,1,84
7658157,"Large, quiet and sunny room&balcony",40195311,Rita,Pankow,Blankenfelde/Niederschönhausen,52.590793698128685,13.403492611636432,Private room,25,1,2,2015-09-15,1.20,1,350
4604780,Ruhig im Grünen-schnell in der City,23822141,Jens & Annette,Pankow,Blankenfelde/Niederschönhausen,52.58837027170387,13.42359500032933,Entire home/apt,85,2,6,2015-08-31,1.15,1,348
279222,Beautiful 105sqm. Flat besides Park,1456393,Johanna,Pankow,Blankenfelde/Niederschönhausen,52.5771050390231,13.400070344747487,Entire home/apt,49,18,1,2014-06-10,0.06,1,335
2522307,"Bed and muesli ""villakunterbunt""",12914606,George,Pankow,Blankenfelde/Niederschönhausen,52.59870735409314,13.389155388463475,Private room,35,1,10,2015-07-25,0.59,1,293
7568544,familienfreundliche Altbauwohnung,39056052,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.57958124947871,13.402655654804162,Entire home/apt,69,6,1,2015-08-29,0.83,2,66
7457210,Große Wohnung für Familien,39056052,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.579873971369686,13.40044824636479,Entire home/apt,80,6,0,,,2,66
8611600,Charmantes Zimmer in Berlin Pankow,45301506,Ugi,Pankow,Blankenfelde/Niederschönhausen,52.59332254197531,13.40007735289034,Private room,35,1,0,,,1,180
6282752,3Zimmer Altbauwohnung in Pankow,32658240,Tom,Pankow,Blankenfelde/Niederschönhausen,52.576165929441814,13.396463313488077,Private room,39,1,2,2015-08-17,0.55,2,324
7952598,Nice bright attic apartment,35982520,Franziska,Pankow,Blankenfelde/Niederschönhausen,52.590531040812444,13.391995046018751,Entire home/apt,65,1,4,2015-09-27,4,1,355
6805710,Dachgeschoss in Pankow-niederschönh,32658240,Tom,Pankow,Blankenfelde/Niederschönhausen,52.577334784656756,13.397579787892036,Private room,39,1,3,2015-09-21,1.41,2,326
5016956,Charmantes  Apartment in Pankow ,25878802,Lena,Pankow,Blankenfelde/Niederschönhausen,52.57685414196279,13.393963050671882,Entire home/apt,40,2,5,2015-09-28,0.83,2,342
7486709,Wg-Zimmer in zweier WG,39208160,Christian,Pankow,Blankenfelde/Niederschönhausen,52.58887627384369,13.395326991323612,Private room,20,1,2,2015-10-01,1.62,1,48
6435417,"2Raumwohng., Dachterrasse, 2 Bäder,",27085073,Morten,Pankow,Blankenfelde/Niederschönhausen,52.58266742948632,13.401148320508911,Private room,45,5,0,,,1,363
7777135,Charmante Wohnung im grünen Pankow,40917101,Katja,Pankow,Blankenfelde/Niederschönhausen,52.58304544316499,13.396750502689008,Entire home/apt,75,1,0,,,1,29
7642523,Family-friendly 2 room apartment,40101010,Steven,Pankow,Blankenfelde/Niederschönhausen,52.590427710710365,13.406947466486173,Entire home/apt,45,2,0,,,1,323
7642371,Gareos Himmel,40100342,Gareo,Pankow,Blankenfelde/Niederschönhausen,52.57743039390149,13.400585006823416,Private room,50,1,0,,,1,307
1153584,Ferienwohnung Berlin-Pankow,4813229,Ulrike,Pankow,Blankenfelde/Niederschönhausen,52.58921822417372,13.399260586072911,Entire home/apt,50,2,28,2015-09-23,1.14,1,295
6393652,Künstler-Wohnung 70 € 04.-18.7.2015,33337642,Ulrike,Pankow,Blankenfelde/Niederschönhausen,52.588018686577705,13.401748867023262,Entire home/apt,70,5,0,,,1,115
7832750,"Sonniges Zimmer,3. Etage/Altbau",36417780,Lisa,Pankow,Blankenfelde/Niederschönhausen,52.58231232676322,13.395584373495467,Private room,25,1,5,2015-09-28,5,1,351
7373422,Ruhiger geräumiger Altbau in Pankow,38630547,Ines,Pankow,Blankenfelde/Niederschönhausen,52.58628359497993,13.408938468128092,Entire home/apt,33,5,0,,,1,52
582406,Apartment Helmholtzplatz,2868259,,Pankow,Helmholtzplatz,52.5444528312683,13.42078051750967,Entire home/apt,59,1,0,,,1,346
69509,"Star Art, Prenzlauer Berg, Berlin",182088,Maruska,Pankow,Helmholtzplatz,52.54408666159702,13.423930282171028,Entire home/apt,70,2,110,2015-09-27,1.97,2,326
2146698,Spacious room in rooftop penthouse,2468476,Julia Und Hannes,Pankow,Helmholtzplatz,52.540371507612015,13.417508418325266,Private room,55,2,2,2014-09-28,0.15,1,302
2179798,Spacious&comfy in Prenzlauer Berg!,11116143,,Pankow,Helmholtzplatz,52.54323414430939,13.422080746595672,Entire home/apt,40,5,18,2015-08-25,1.10,1,301
1089060,Trendy East Berlin,5984109,Jens,Pankow,Helmholtzplatz,52.54668107550223,13.419045518076699,Entire home/apt,80,2,5,2015-08-11,0.39,2,163
463384,Large and bright apt in P'Berg,2291418,Christian,Pankow,Helmholtzplatz,52.5407252136225,13.416022174936375,Entire home/apt,68,4,12,2015-07-31,0.30,1,282
637486,Charming Apartment in Prenzl Berg,1249642,Juliana,Pankow,Helmholtzplatz,52.540656959135866,13.415250041553211,Entire home/apt,80,3,42,2015-09-27,1.13,4,272
725085,Spacious room central artist area,1983770,Maya,Pankow,Helmholtzplatz,52.54636713137821,13.41655149233809,Private room,22,1,94,2015-09-28,2.65,2,1
1393484,Quiet 1 1/2 br in Prenzlauer Berg,7345295,Marleen,Pankow,Helmholtzplatz,52.54232071609837,13.4228696460652,Shared room,22,2,2,2015-09-28,0.12,1,339
5130293,Nice cozy room,7612474,Eva,Pankow,Helmholtzplatz,52.54266033520889,13.424694222233539,Private room,23,3,0,,,1,228
7239371,Night ***,4259960,Sébastien,Pankow,Helmholtzplatz,52.53951621228561,13.423618723004456,Private room,25,1,7,2015-09-07,2.56,4,120
3291658,Helles gemütliches Zimmer in P'berg,16583939,Sylvie,Pankow,Helmholtzplatz,52.547904122042915,13.416144707728694,Private room,40,7,4,2015-08-26,0.27,1,257
8479541,schönes Altbauzimmer,44658604,Johanna,Pankow,Helmholtzplatz,52.54256023948537,13.419635716218783,Private room,35,3,1,2015-09-25,1,1,19
6355866,Bright room in Prenzlauer Berg,15576769,Paul,Pankow,Helmholtzplatz,52.54298635652787,13.413826603560297,Private room,69,1,0,,,1,62
137950,Maisonette in Prenzlauer Berg,674063,Marco,Pankow,Helmholtzplatz,52.546951871868835,13.420248087896411,Entire home/apt,75,21,21,2015-09-10,0.40,1,240
8575772,Danziger Height *,4259960,Sébastien,Pankow,Helmholtzplatz,52.53967981715007,13.422906709096488,Entire home/apt,68,1,0,,,4,332
520538,Apart. Prenzlb./Helmholtzplatz WiFi,2561273,Anett,Pankow,Helmholtzplatz,52.54377218117116,13.418624064748428,Entire home/apt,90,2,46,2015-09-07,1.17,1,327
37330,Serenity in P.Berg - Cafe Central!,161221,Marcus,Pankow,Helmholtzplatz,52.54349536674061,13.421127007667133,Entire home/apt,65,3,73,2015-09-21,1.24,1,209
7626197,Cosy flat in Berlin's best neighbh.,4373606,Sönke,Pankow,Helmholtzplatz,52.543751700246304,13.424871530827755,Entire home/apt,61,2,8,2015-09-27,4.90,1,82
458800,"Beautiful 3BR, Excellent location",2281237,,Pankow,Helmholtzplatz,52.54040836422394,13.421441218825596,Entire home/apt,180,2,5,2015-08-15,0.13,1,278
6637359,Cosy 50m2 flat in Prenzlauer Berg,34740218,Alexander,Pankow,Helmholtzplatz,52.54031647824483,13.421645153293984,Entire home/apt,75,2,7,2015-09-14,1.76,1,0
475231,Berlin-feeling-Prenzlauer Berg,2355317,Michael,Pankow,Helmholtzplatz,52.54755959158795,13.416844411630445,Entire home/apt,50,1,25,2015-07-07,1.00,3,310
5844033,"Sunny room in Berlin, best location",30341231,ArtHome,Pankow,Helmholtzplatz,52.54067115505897,13.422938166117822,Private room,33,2,9,2015-09-20,1.76,1,355
8112051,Sunny and warm flat Kollwitzplatz,5169630,Juan,Pankow,Helmholtzplatz,52.54066100231784,13.418561233095025,Entire home/apt,80,3,0,,,1,53
6833849,Appartement Sonnenschein Prenzlberg,35803145,Philipp,Pankow,Helmholtzplatz,52.54085290366742,13.417000161757418,Entire home/apt,40,3,9,2015-09-21,2.60,1,3
719766,Generous bright flat in P-Berg,3714514,Vera,Pankow,Helmholtzplatz,52.54100230885572,13.421577257208575,Entire home/apt,90,2,16,2015-08-24,0.47,1,182
769196,Cozy and pretty,4057507,Uwe,Pankow,Helmholtzplatz,52.54302737096353,13.423717088912117,Private room,70,4,0,,,2,341
8375383,Apartment/Loft in Prenzlauer Berg,4104942,Jochen,Pankow,Helmholtzplatz,52.539430488394665,13.423121907735021,Entire home/apt,65,14,0,,,1,35
1997915,Charming & quiet apartment P Berg,7444466,Milla,Pankow,Helmholtzplatz,52.546973286921585,13.416136461949442,Entire home/apt,60,2,7,2015-08-23,0.62,1,65
2570398,15m2 Private Room in Prenzlauer Ber,13160867,Nastia,Pankow,Helmholtzplatz,52.542361719364706,13.418900556516054,Private room,31,3,17,2015-09-15,0.96,1,156
274771,"Beautiful, Bright, Best location",1436517,Ralf,Pankow,Helmholtzplatz,52.53954249011983,13.423175063126155,Private room,44,2,10,2015-09-15,0.26,1,0
1587068,"Cozy, Bright and Spacious Room",8460534,Lutz,Pankow,Helmholtzplatz,52.543612244905546,13.420379492704459,Private room,32,2,26,2014-08-20,1.05,1,275
342637,Cosy Apartment in Prenzlauer Berg,1738368,Rolf,Pankow,Helmholtzplatz,52.54155872811695,13.422994653806242,Entire home/apt,60,3,58,2015-09-11,1.36,1,337
477515,"Apartment in Prenslauerberg, Mitte,",2366664,Torsten,Pankow,Helmholtzplatz,52.543973392929374,13.419565819803038,Entire home/apt,119,2,67,2015-09-14,1.74,1,232
4947507,Dreamy room in the coziest area,3736018,Hana,Pankow,Helmholtzplatz,52.54339887481745,13.42304244690537,Private room,46,1,21,2015-09-21,2.66,1,358
893313,A couch during the Berlinale,4751044,Anne,Pankow,Helmholtzplatz,52.54765596092339,13.414744196882431,Private room,50,2,1,2015-06-08,0.25,1,365
3211128,cosy room (20qm) in Prenzlauer Berg,16269143,Judith,Pankow,Helmholtzplatz,52.54413683665166,13.42202600229977,Private room,30,1,1,2015-08-16,0.61,1,71
5256244,Cozy Room in prime located Flat,19135815,Alexandre,Pankow,Helmholtzplatz,52.54603192440896,13.414429869818429,Private room,50,5,0,,,1,364
6709565,Beautiful flat,8048882,Chris,Pankow,Helmholtzplatz,52.54122350804696,13.422839696654961,Entire home/apt,68,3,5,2015-09-29,2.17,1,99
5138650,"Schönes, helles Zimmer in Altbauwhg",26534826,Elke,Pankow,Helmholtzplatz,52.54349244555511,13.419217584376899,Private room,50,2,2,2015-09-07,2,1,365
