id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12147973,Sunny Bungalow in the City,31303940,Virginia,,Roslindale,42.282618795779484,-71.13306792912681,Entire home/apt,250,2,0,,,1,0
3075044,Charming room in pet friendly apt,2572247,Andrea,,Roslindale,42.286240821867416,-71.13437396457161,Private room,65,2,36,2016-08-13,1.30,1,359
6976,Mexican Folk Art Haven in Boston,16701,Phil,,Roslindale,42.2924378866568,-71.13576525374667,Private room,65,3,41,2016-08-05,0.47,1,319
1436513,Spacious Sunny Bedroom Suite in Historic Home,6031442,Meghna,,Roslindale,42.28110618827366,-71.12102117350553,Private room,75,1,1,2016-08-28,1,1,98
7651065,Come Home to Boston,15396970,Linda,,Roslindale,42.28451220982457,-71.1362580468337,Private room,79,2,29,2016-09-01,2.25,1,334
12386020,Private Bedroom + Great Coffee,64200298,Deborah,,Roslindale,42.29168980076903,-71.13189277475922,Private room,75,2,8,2016-08-28,1.70,1,58
5706985,New Lrg Studio apt 15 min to Boston,6570877,Juliet,,Roslindale,42.28138962623448,-71.13119041987277,Entire home/apt,100,1,57,2016-09-01,4.00,3,344
2843445,"""Tranquility"" on ""Top of the Hill""",3164508,Marilyn,,Roslindale,42.28194609607024,-71.14102161135577,Private room,75,1,67,2016-09-04,2.38,2,365
753446,6 miles away from downtown Boston!,3962517,Sami,,Roslindale,42.28587763920193,-71.12490955692161,Private room,58,2,65,2016-08-30,5.36,1,347
849408,Perfect & Practical Boston Rental,4434391,Damon,,Roslindale,42.28882028358453,-71.13951010210121,Entire home/apt,229,4,33,2016-05-27,1.01,2,107
12023024,Cozy room in a well located house,64331842,Ricardo,,Roslindale,42.286448197788786,-71.13932538848039,Private room,60,1,1,2016-06-17,0.36,1,343
1668313,Room in Rozzie-Twin Bed-Full Bath,8834105,Rebecca,,Roslindale,42.281941832424685,-71.13337190191741,Private room,57,1,17,2016-08-18,0.48,2,341
2684840,"Updated, spacious living in Rozzie",13743098,Megan,,Roslindale,42.29172341146307,-71.13155602161845,Entire home/apt,93,1,1,2016-07-23,0.64,2,0
13547301,2 Bedroom Apartment in Boston,57402911,Georgia,,Roslindale,42.28764103470109,-71.12988286590424,Entire home/apt,150,2,12,2016-09-03,4.93,1,129
5434353,Quiet  Beauty in Boston,9658771,Anthony,,Roslindale,42.286264736208935,-71.13706513072117,Entire home/apt,145,3,7,2016-08-06,0.56,1,319
225979,Cozy Room & Fresh Roasted Coffee,1176995,Duane,,Roslindale,42.2814520694321,-71.12925004404066,Private room,60,1,70,2016-08-02,1.16,2,339
3420384,"Convient, Safe and Comfortable",431385,Cynthia,,Roslindale,42.27440801253166,-71.12529404441553,Private room,165,3,1,2016-08-26,1,1,349
13512930,Roslindale Beauty next to Arboretum,13743098,Megan,,Roslindale,42.29181491557826,-71.1315879343071,Private room,75,1,1,2016-06-20,0.37,2,0
7482195,Private room near bus stop,34552909,Barrie,,Roslindale,42.282224755841604,-71.11518855890074,Private room,49,5,0,,,3,295
7252607,Private Room near Public Transport,34552909,Barrie,,Roslindale,42.28280175042395,-71.11514509094087,Private room,49,5,4,2016-08-21,0.29,3,262
2583074,Cozy room in a charming villa.,13226301,Mohamed,,Roslindale,42.27964781834151,-71.1360587290911,Private room,40,2,31,2016-08-30,1.24,3,332
13251243,Arborside Guest Cottage,74531248,Carl & Judy,,Roslindale,42.29403534422037,-71.13223724631055,Entire home/apt,120,2,16,2016-09-01,5.93,1,207
225834,Skyline View to Boston,1176995,Duane,,Roslindale,42.28052812623618,-71.13084254103526,Private room,70,1,38,2016-08-31,0.63,2,299
6400432,Spacious 3 bedroom cape cod style,23127285,Jesús,,Roslindale,42.27838291101699,-71.12878009724983,Entire home/apt,150,3,21,2016-08-19,1.58,1,0
5498472,"4BD/3.5BA, Perfect for families!",28518068,Colette,,Roslindale,42.27683095063724,-71.12955973831468,Entire home/apt,175,14,1,2015-07-24,0.07,1,0
894539,Private room in house ,4762495,Jennifer,,Roslindale,42.290903928902345,-71.13023771355206,Private room,95,1,40,2016-09-02,1.13,2,1
879929,Surround yourself with custom art!,4653380,Beth,,Roslindale,42.29151999170097,-71.13185776978565,Private room,90,1,43,2015-12-01,1.06,1,122
9218312,Sunny bedroom with private bathroom,47935411,Jone,,Roslindale,42.28907107085577,-71.12823296377442,Private room,95,2,33,2016-08-24,4.02,1,107
321328,Bright Room Near Roslindale Village,8302344,Dan,,Roslindale,42.292238240224194,-71.13449706289937,Private room,100,1,11,2015-10-24,0.21,1,356
1810172,Room for 2 in Rozzie - Full Bath,8834105,Rebecca,,Roslindale,42.28208581195228,-71.1333486774579,Private room,67,1,20,2016-08-15,0.58,2,310
6513924,Private room in spacious condo!,16398126,Chris,,Roslindale,42.284561507299415,-71.11972634316602,Private room,55,1,30,2016-08-31,1.93,1,129
7093109,Adorable  Apt. 20 min from Downtown,37177446,Nelson And Marlene,,Roslindale,42.27696861949929,-71.11775586431585,Entire home/apt,200,2,2,2016-05-31,0.38,1,353
14690527,1 Bedroom Home Suite Home,28472710,Crystal,,Roslindale,42.28922069154087,-71.13071326524191,Entire home/apt,150,1,0,,,1,17
7086825,Private Room near public transport,34552909,Barrie,,Roslindale,42.28228162657036,-71.11681747458199,Private room,49,5,10,2016-06-26,0.72,3,325
1861070,Charming Gambrel on a sweet street,8879967,Joanne,,Roslindale,42.27691292292999,-71.12823284429416,Private room,75,1,17,2016-06-25,0.59,1,362
4283698,Private 1 bedroom w/ kitchenette,333210,Gena & Leon,,Roslindale,42.28967076428995,-71.1372864086912,Entire home/apt,110,3,55,2016-09-02,2.36,1,300
10116095,Comfortable & Clean - Boston,1229092,Jim,,Roslindale,42.289603216466745,-71.13336748771152,Private room,115,1,0,,,1,351
8548176,Charming 3 bedroom-15 min to Boston,6570877,Juliet,,Roslindale,42.27917609759368,-71.13277179664853,Entire home/apt,125,1,24,2016-08-23,2.07,3,351
4922204,Charming new house-15 min to Boston,6570877,Juliet,,Roslindale,42.28214228250037,-71.12904915306451,Entire home/apt,200,1,82,2016-08-22,4.32,3,343
4085362,"""Room with a View""  from ""Top of the Hill""",3164508,Marilyn,,Roslindale,42.281748516890026,-71.14031783726143,Private room,75,1,20,2016-09-04,0.87,2,361
3755609,Lovely & Gracious Victorian room,19223882,Rosa,,Roslindale,42.27563719947966,-71.12480041713683,Private room,78,3,21,2016-08-07,0.87,1,339
13768853,"Cozy, quiet room in Roslindale",43132977,Elly,,Roslindale,42.28759769917666,-71.13448153404433,Private room,50,2,10,2016-08-23,5.77,1,0
