id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1874928,Sunny 2Bd 1Ba HEART of LINCOLN SQ.!,9767449,Rick And Suzanne,,Lincoln Square,41.96592635772914,-87.68311677227946,Entire home/apt,142,2,34,2015-09-22,2.71,1,144
739495,Lovely 2 bedroom in Lincoln Square ,3867687,Janet,,Lincoln Square,41.97799257254454,-87.68120843097282,Entire home/apt,120,3,61,2015-09-22,2.27,1,134
1696051,Unique Pet Friendly 1BR Coach House,3350653,Ashley,,Lincoln Square,41.972588062889834,-87.69475440725364,Entire home/apt,85,3,6,2015-08-25,0.26,1,201
5152597,Sunny 2nd Floor in Lincoln Square,22591305,Patrick,,Lincoln Square,41.96783200829709,-87.69364494638806,Entire home/apt,125,2,10,2015-08-16,1.47,1,226
8036094,Bright & Homey in Lincoln Square,7950629,Annemarie,,Lincoln Square,41.96518198572529,-87.69195587709623,Private room,75,1,2,2015-09-14,2,1,82
7395957,Lincoln Square Guest Suite,31551384,Rebekah,,Lincoln Square,41.96263644364174,-87.68385850923238,Private room,95,1,7,2015-09-28,3.44,1,294
6316235,Very Spacious Mid-Century Gem,12608762,Tanya,,Lincoln Square,41.97342360828903,-87.69635119824875,Entire home/apt,275,1,9,2015-09-21,1.96,3,295
6213619,Spacious 2 bed in Ravenswood,2966741,Megan,,Lincoln Square,41.969724518883375,-87.67628102097643,Entire home/apt,175,2,10,2015-09-21,2.14,1,243
4157774,Great Spacious condo in Lincoln Sq!,9510172,Russ,,Lincoln Square,41.96240379291501,-87.69020773614413,Entire home/apt,100,7,3,2014-12-15,0.26,1,282
1359619,Posh Digs in Chicago,7379714,Kara,,Lincoln Square,41.977400027353816,-87.6801974001561,Private room,80,2,26,2015-09-21,0.97,1,354
6864525,Cozy and Quiet space,18999598,Raphael Dynk,,Lincoln Square,41.97060556467543,-87.680902979984,Private room,55,2,4,2015-08-16,1.15,1,85
8043570,Ravenswood Private 1BD/1BR By Train,34925165,Emily,,Lincoln Square,41.96825704248686,-87.68226911650358,Private room,70,1,0,,,2,72
7637490,"Unique, Large2B in Lincoln Square",26790353,Jill K,,Lincoln Square,41.96716398923999,-87.68877677571618,Entire home/apt,125,1,1,2015-08-11,0.56,1,330
6634916,Vintage Lincoln Square Sanctuary,34473759,Kerry,,Lincoln Square,41.97253752040358,-87.69630758908542,Private room,75,1,0,,,1,82
3325262,Gorgeous Lincoln Square Two-Level,15907722,Lisa,,Lincoln Square,41.96945924343805,-87.69523157477963,Entire home/apt,210,2,7,2015-08-04,0.47,1,273
4488508,Travelers Refuge,20579646,Haley,,Lincoln Square,41.97138541971268,-87.69233372034138,Private room,60,1,13,2015-08-20,1.19,3,288
5737004,Cozy and Quiet 1BD in Ravenswood,29751294,Elliot,,Lincoln Square,41.972822302998004,-87.67561765798807,Entire home/apt,85,1,4,2015-08-12,0.63,1,286
7420598,Private Room & Bath,1425670,Yvonne,,Lincoln Square,41.96684144748048,-87.69878391138538,Private room,55,1,11,2015-09-15,4.65,1,71
4045398,Airbed + free walking tour!,1884126,Hillary,,Lincoln Square,41.97647609400002,-87.68537499474732,Shared room,65,1,7,2015-08-04,0.55,3,365
5814832,Winchester Private Studio Apartment,21143101,Mari Pat,,Lincoln Square,41.97142486694145,-87.67634945730694,Entire home/apt,102,2,16,2015-08-17,3.02,1,89
6403963,Quiet Private Room - Lincoln Square,32017356,Chris & Moriah,,Lincoln Square,41.96721033034539,-87.69066438073277,Private room,60,2,6,2015-08-25,1.64,1,342
964467,Charming 1BR in lincoln square,5257589,Nathalie And David,,Lincoln Square,41.964926867851815,-87.6953886381711,Entire home/apt,90,2,16,2015-08-22,0.52,1,25
6326806,Mid-Century Spacious Apartment,12608762,Tanya,,Lincoln Square,41.97330016510176,-87.6958660401818,Entire home/apt,150,1,9,2015-09-16,1.86,3,290
1503962,Luxury condo in Lincoln Square,5892784,Alin,,Lincoln Square,41.980585437715305,-87.6892452838448,Entire home/apt,110,1,21,2015-09-23,0.88,2,360
4633440,Beautiful 2-Bedroom Home Near Train,23994532,Cathlynn,,Lincoln Square,41.97280966605843,-87.69432614943753,Entire home/apt,125,2,17,2015-09-21,2.03,1,300
6585861,"Clean, Safe & Family Friendly",3711986,Guy,,Lincoln Square,41.970051787035345,-87.68436098598136,Entire home/apt,350,2,5,2015-09-14,1.46,1,102
3912670,Futon + free architecture tour!,1884126,Hillary,,Lincoln Square,41.97787551491296,-87.68704277746586,Shared room,65,1,4,2015-07-05,0.31,3,365
4518079,In the heart of Lincoln Square!,7728471,Jennie,,Lincoln Square,41.96451596689633,-87.68753576578716,Entire home/apt,150,1,31,2015-09-07,2.84,1,323
6012333,Restful Retreat - Spacious Bedroom,20579646,Haley,,Lincoln Square,41.971398165145715,-87.69324700516457,Private room,60,1,5,2015-09-13,4.17,3,221
3468751,Large Victorian in Prime Location,17477130,Noelle,,Lincoln Square,41.96641496697617,-87.67978439290876,Entire home/apt,225,3,1,2015-08-17,0.63,1,330
7695801,Quiet 1 bdm near Brown Line train,27615683,Jean,,Lincoln Square,41.96896859853632,-87.69434532051169,Entire home/apt,90,1,2,2015-09-27,1.07,1,35
6276987,Sunny Private Room Near Train,30597074,Ketrija,,Lincoln Square,41.96829520718036,-87.6839327864746,Private room,60,1,12,2015-09-21,2.61,1,312
6713059,Quaint apt in Chicago Brownstone,2441740,Kerith,,Lincoln Square,41.96747876990389,-87.69185889865197,Private room,58,1,4,2015-09-05,1.46,1,364
8153968,Cozy Suite in Quaint Neighborhood,16500117,Sara,,Lincoln Square,41.965934203605634,-87.68662853750816,Private room,77,1,0,,,1,60
7826615,Private Arty Room in Lincoln Square,35240042,Caitlin,,Lincoln Square,41.96872847063536,-87.69453819906309,Private room,75,1,3,2015-09-28,3,1,356
6093933,Peaceful one bedroom apartment,31625585,Stephanie,,Lincoln Square,41.96365966101546,-87.69233937480831,Entire home/apt,60,1,4,2015-07-10,1.14,1,139
8153735,Modern Lincoln Square Apartment,23019078,Erica,,Lincoln Square,41.97228459052832,-87.68856487931562,Private room,60,1,2,2015-09-16,2,1,343
649848,Loveliest Chicago Neighborhood!,1382472,Ani,,Lincoln Square,41.96225551942185,-87.68469165358944,Private room,55,2,1,2015-09-01,0.91,2,357
7055844,Ravenswood Chicago Room for Rent,27615225,Sloane,,Lincoln Square,41.97288109166214,-87.67487013600913,Private room,60,1,12,2015-09-28,4.24,1,322
895426,The Morgan: Quiet Brown Line Studio,4770980,Ellenkate And Tim,,Lincoln Square,41.964941926885395,-87.67828663969942,Entire home/apt,107,1,140,2015-09-17,4.32,6,341
3794758,"Walking paradise,  cute place!
",19487548,Juli,,Lincoln Square,41.971208315336746,-87.68650844491225,Private room,35,1,9,2015-08-26,0.71,1,324
6850175,Lovely 2BR Condo in Chicago,22567195,Tim,,Lincoln Square,41.97782016948793,-87.6857442182464,Entire home/apt,139,2,16,2015-09-23,4.80,5,332
6612044,Private suite in Lincoln Square,11581930,Beatrice,,Lincoln Square,41.971496268666286,-87.69706888263426,Private room,85,2,11,2015-09-26,2.66,1,308
8627226,2 BD/2 BR Condo Recently Renovated,33607250,Melissa,,Lincoln Square,41.969088003022385,-87.68272260926385,Entire home/apt,150,1,0,,,2,5
4907692,River Bungalow in Ravenswood Manor,22632675,Donald,,Lincoln Square,41.967364024895915,-87.69906606052606,Entire home/apt,150,7,3,2015-04-05,0.46,1,101
