id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11694938,Geneve maison,1762307,Mariange,,Plan-les-Ouates,46.168933677161036,6.134737434889799,Entire home/apt,350,7,0,,,3,277
8965589,Cozy room in a nice Villa area,31906729,Katri,,Plan-les-Ouates,46.171418379739386,6.118296123182412,Private room,46,1,33,2016-07-28,3.44,3,300
58832,GardenPavilion (with TransportPass),281935,Maya,,Plan-les-Ouates,46.16544338673496,6.131605577805682,Entire home/apt,120,4,3,2016-02-17,0.12,1,331
10588051,Cozy room in a nice Villa area,31906729,Katri,,Plan-les-Ouates,46.17169122059143,6.117104268107111,Private room,45,1,22,2016-07-28,3.53,3,296
9146316,"NEW, studio fully equipped near Gva",23599590,Fabrizio,,Plan-les-Ouates,46.16910543106655,6.119707981840219,Entire home/apt,55,5,0,,,3,0
3393746, chambre au calme,13921113,Marie-Antoinette,,Plan-les-Ouates,46.16388647907966,6.112087221137671,Private room,52,3,14,2016-06-23,0.62,5,365
8959271,Cozy room in a nice Villa area,31906729,Katri,,Plan-les-Ouates,46.17186347719115,6.116927392583272,Private room,45,1,37,2016-08-06,3.84,3,286
14357848,Bright and cosy studio,88013825,Maurine,,Plan-les-Ouates,46.166051337251965,6.111194927285031,Entire home/apt,49,2,0,,,1,357
347734,"Nice room close to Carouge, Geneva",1762307,Mariange,,Plan-les-Ouates,46.16788734131865,6.13623709466197,Private room,45,1,34,2016-08-05,0.63,3,333
2264750,Studio de 50m2 au rez d'une maison ,11565933,Corinne,,Plan-les-Ouates,46.1713560043628,6.120598241126321,Private room,76,1,2,2016-03-13,0.38,1,88
6936513,Between city and countryside Geneva,19270333,Wendy,,Plan-les-Ouates,46.16254480994454,6.127856679646482,Entire home/apt,250,2,0,,,1,208
11835837,Geneve.Suisse. A 6 Km du Jet d'Eau.,1762307,Mariange,,Plan-les-Ouates,46.16777870504506,6.136278747798713,Private room,55,1,5,2016-07-11,1.12,3,364
4422262,STUDIO NEUF 28m2 avec petit jardin,21533388,Natalia,,Plan-les-Ouates,46.172150126163736,6.111504137713561,Entire home/apt,120,2,5,2016-07-23,0.34,1,352
2456922,Charming new individual cosy house,12563568,Joëlle,,Plan-les-Ouates,46.17010239183836,6.110860169523062,Entire home/apt,250,2,6,2016-06-05,0.20,1,365
483022,Nice 3 pieces flat Geneva balcon,2390992,Daisy,,Plan-les-Ouates,46.170752967296664,6.111512239282614,Entire home/apt,95,2,5,2016-06-30,0.38,1,365
12300217,Belle chambre  10 m2 au 6ème étage,66313094,Maria,,Plan-les-Ouates,46.172910578079154,6.114369915046074,Private room,30,30,0,,,1,341
13772326,grande chambre privé et SDbain attenante et balcon,13921113,Marie-Antoinette,,Plan-les-Ouates,46.16538491033584,6.11345472936848,Private room,70,3,0,,,5,364
2940931,"Spacieuse, agréable chambre privée",13921113,Marie-Antoinette,,Plan-les-Ouates,46.16422179499883,6.113807157522733,Private room,55,3,5,2016-02-15,0.21,5,365
13118037,Cozy room in Geneva,65466516,Ángela,,Lancy,46.18473076988652,6.1115398310397175,Private room,45,1,14,2016-07-30,5.25,1,78
8249383,Chambre dans bel appartement,43503650,Lili,,Lancy,46.191622491415075,6.1093435505485285,Private room,65,2,10,2016-07-02,0.96,1,365
5160183,Geneva: Sunny room; mountains view,8935839,Stani&Bella,,Lancy,46.17430664461375,6.123788545034769,Private room,48,2,22,2016-07-07,1.25,1,361
11854621,"Room-double bed, balcony,nice place",9785768,Sandro,,Lancy,46.186603096721065,6.114222851547878,Private room,50,1,4,2016-08-02,1.03,2,236
7431156,Chambre calme vue sur le Salève,38925165,Andrea,,Lancy,46.18552033082515,6.122517581437976,Private room,80,1,1,2016-05-21,0.37,1,311
10518937,Geneva Harmonious Furnished Studio,30635997,Edney,,Lancy,46.18182194406305,6.121582045276096,Entire home/apt,60,1,0,,,1,0
14246894,"Modern, bright apartment with underground parking",75347285,Antonella,,Lancy,46.17983446340402,6.122242640022093,Entire home/apt,115,2,0,,,1,292
8717880,Beautiful Flat in Artistic Style,3193619,Gaïa,,Lancy,46.17907369833826,6.114460903464928,Private room,74,1,4,2016-06-30,0.59,12,365
4425515,Room 15 sqm ,12868402,Santi,,Lancy,46.1807652219446,6.112583909138245,Private room,76,1,0,,,1,362
6252372,Quiet & cosy private room in Geneva,2988944,Nordine,,Lancy,46.17500361940507,6.113986994921232,Private room,47,1,24,2016-06-06,1.57,1,66
