id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12814144,温馨的住家,69782768,钦泉,,North,22.536463925720522,114.1239452838899,Entire home/apt,719,1,0,,,1,365
12399510,粉嶺dawning views,67046934,Matt,,North,22.486649758458448,114.145550279098,Private room,295,1,0,,,1,365
7501081,Home stay with a private room,17350567,Chris,,North,22.50073279911712,114.12496925205092,Private room,248,1,2,2016-05-25,0.19,2,343
8575136,Home sweet home,45130476,Leo,,North,22.492318595857142,114.13966277755227,Entire home/apt,403,1,0,,,1,346
764696,Single bed room with green view ,4031260,Jen Ai,,North,22.502621295920274,114.13418070485521,Private room,302,2,26,2016-06-19,0.57,2,365
11742243,贴近罗湖口岸的房间，豪华双人房,49464266,Xingfan,,North,22.533354480039968,114.11761527933778,Entire home/apt,959,1,0,,,1,365
11609354,Cozy Stay at Fanling Station nearby,17634287,妙婕,,North,22.486496113309485,114.1420949508149,Entire home/apt,931,7,0,,,1,362
11645787,高端简约公寓   高大上的落地玻璃窗 视野超赞,53379566,Syndy,,North,22.533478980224555,114.09182214552874,Private room,216,1,2,2016-07-20,0.61,1,365
1631158,welcome gay friends and nudists,8459725,Wallace,,North,22.538519192256917,114.13001089101532,Private room,184,1,1,2013-12-06,0.03,1,365
2594894,Quiet & fresh air single room,8812805,May,,North,22.500611326288126,114.14136240156822,Private room,302,1,3,2015-01-07,0.11,1,316
10196511,Cozy Room near Man Kam To and Lo Wu,43208475,Evie,,North,22.537828302977186,114.12574493659237,Private room,216,1,20,2016-07-15,3.17,1,341
10344433,"2BDRM, BRIGHT CHARMING CLUB HOUSE",53241233,Cindy,,North,22.50169504999788,114.14325968571164,Entire home/apt,403,1,0,,,1,0
10862237,活力青春的青年旅舍 有趣的氛围 温馨独立空间,56151092,立英,,North,22.53095258537807,114.0834671424547,Private room,176,1,0,,,1,365
13935334,Cozy flat near Sheung Shui Station,51737226,Chui Yi,,North,22.49984506145968,114.12653818761608,Entire home/apt,318,1,1,2016-07-22,1,1,362
8743778,Relaxing  delux farm stay HK,45869944,Queenie,,North,22.476697920972374,114.10374911601883,Entire home/apt,7601,1,0,,,1,365
13904209,Home Stay at 100 meters to Fanling Train Station,19638608,Anto,,North,22.493521564627883,114.1404683999397,Private room,202,1,0,,,1,22
13625819,海友酒店深圳罗湖口岸火车站店,60202688,凯,,North,22.534774521396436,114.11681776943657,Private room,200,1,0,,,2,0
3444963,Home Stay with bed at living room,17350567,Chris,,North,22.502715307345355,114.12565661342592,Private room,155,1,61,2016-07-23,2.45,2,336
6941345,Very countryside see nobody but sky,1264604,Kin,,North,22.525808714010875,114.1334286835732,Entire home/apt,683,1,0,,,2,86
487197,Deluxe Apt w/ Stunning Seaview,1979817,Angelina,,North,22.553744882162405,114.19985691128986,Private room,1901,1,0,,,1,365
5543398,Quiet Single Room in Sheung Shui,28741711,Jennifer,,North,22.50762192350799,114.12848872077411,Private room,163,1,0,,,2,0
4472754,房間乾淨清爽，木地板，超大雙人床，台北西門町附近，方便快捷,17324375,Tony,,North,22.534967627736815,114.158134249477,Private room,1101,1,3,2015-02-10,0.14,1,365
14063808,a Secret sky garden Next to Luohu Perthden Hotel,51652685,Oscar,,North,22.537268129734063,114.12145741965595,Private room,264,1,0,,,1,173
1832930,Single bed room with green view,4031260,Jen Ai,,North,22.524383821390302,114.18172955780194,Private room,302,2,10,2016-01-06,0.39,2,363
11211185,A cosy private room in Sheung Shui,28741711,Jennifer,,North,22.50016725823287,114.12835495637904,Private room,147,1,0,,,2,146
11603938,香港上水獨立豪華別墅屋，明星居住地段，歐式羅馬精緻裝修及花園！,61404914,Alvin,,North,22.501030438184912,114.10897451119921,Private room,1497,7,0,,,2,365
9781868,高级豪华舒适主人套房,50426197,Kutkut,,North,22.485988142803414,114.13871351039414,Private room,318,1,8,2016-07-11,1.13,1,298
