id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8909380,Nice quiet private ranch house,44800067,Kevin,,Acton,34.485430564181286,-118.12537950350718,Private room,45,1,18,2016-07-27,2.21,1,349
10538813,Robert Ranch Resorts in Los Angeles,54345288,Robert,,Acton,34.53162768768395,-118.22716541646089,Entire home/apt,1158,1,6,2016-07-17,1.14,1,322
13006928,Miller Ranch Bunkhouse,71743973,Beverly,,Acton,34.51548577694994,-118.23074234186498,Entire home/apt,150,1,4,2016-07-24,3.16,1,39
9303822,Apartment near USC and Downtown LA,46817990,Lyra,,Adams-Normandie,34.02820502662777,-118.2917787820269,Private room,32,7,1,2015-11-19,0.12,1,0
13308717,Rustic West Adams District Craftsman Home,46668642,Rick,,Adams-Normandie,34.03131118261751,-118.30865715318055,Private room,45,2,5,2016-07-29,3.95,1,23
1557529,"USC, Small Room in Central LA",2324191,Elisabeth,,Adams-Normandie,34.032654761419536,-118.29771124598855,Private room,50,1,17,2015-12-17,0.64,22,242
6144290,Beautiful Craftsman Home in West Adams with Pool,1619196,Chrissy,,Adams-Normandie,34.032201284044355,-118.30682194200372,Entire home/apt,180,2,0,,,2,67
13696860,Big one bedroom apartment near downtown ktown USC,21078808,Jose,,Adams-Normandie,34.025904411431554,-118.29879465597098,Entire home/apt,100,1,1,2016-06-29,0.83,1,19
9174553,Large Private Cinema Style Room,23480749,Javier & Miguel,,Adams-Normandie,34.03552482105039,-118.2977658813877,Private room,59,3,11,2016-07-04,1.23,3,307
7973248,Small Room near Downtown and USC,42074164,Debbie,,Adams-Normandie,34.03081113451371,-118.29762345415506,Private room,64,1,1,2016-05-22,0.41,3,273
9167855,Quarto compartilhado Los Angeles,47714615,Bruna,,Adams-Normandie,34.028396830334216,-118.29617428953385,Shared room,70,1,0,,,1,0
6153123,Spacious Private Room & Bathroom,2324191,Elisabeth,,Adams-Normandie,34.03058705455378,-118.29954844902255,Private room,89,1,5,2015-08-22,0.38,22,349
4839375,Private Room in Beautiful 2BR House,24905603,Kelley,,Adams-Normandie,34.027018900774785,-118.30247234678738,Private room,80,1,19,2016-06-11,1.44,2,247
9839577,Gorgeous New Guest House + Backyard,16915272,Qiana,,Adams-Normandie,34.02936202489298,-118.3060784870354,Entire home/apt,92,2,14,2016-07-19,5.19,1,14
12570324,Badass Artists Loft-Great Location,42523268,Jenny,,Adams-Normandie,34.03155582442028,-118.3021604132868,Private room,65,1,3,2016-07-19,0.89,1,242
13748272,Warehouse/Loft near Downtown LA,38791141,Leah,,Adams-Normandie,34.031979738431964,-118.3022228786744,Entire home/apt,100,1,0,,,1,0
1552495,Small Room near Downtown and USC,2324191,Elisabeth,,Adams-Normandie,34.03145440994987,-118.29989251403758,Private room,59,2,23,2016-07-05,0.72,22,271
11203634,The right solution for short stays,41504364,Allen,,Adams-Normandie,34.02618058001038,-118.29282159915648,Entire home/apt,79,1,29,2016-07-28,5.27,2,307
12950253,Private room and bathroom!,70691522,Gigi,,Adams-Normandie,34.02961314069173,-118.29169133299357,Private room,33,1,11,2016-07-23,4.40,1,94
3052357,Modern 2BR Apt near Downtown/USC,13108795,Linda And Gil,,Adams-Normandie,34.032293860239236,-118.3041339229595,Entire home/apt,115,1,72,2016-06-26,2.89,3,283
7898757,Studio with full bathroom,41646908,Ian,,Adams-Normandie,34.03141859276508,-118.29901648963383,Private room,30,1,3,2015-12-26,0.38,1,0
1080947,LA Room Rental,2324191,Elisabeth,,Adams-Normandie,34.02864096906932,-118.30129636463387,Private room,74,1,29,2016-06-03,0.74,22,271
14281484,Private Room in West Adams Craftsman Home w Pool,1619196,Chrissy,,Adams-Normandie,34.030401092126766,-118.3071964525277,Private room,80,1,0,,,2,158
2516036,Modern loft (walk to USC),12879495,Splash,,Adams-Normandie,34.02598565506031,-118.29972330774031,Entire home/apt,124,1,36,2016-07-31,1.28,1,343
5393269,Experience Rastaman Vibrations LA,21526457,Richard,,Adams-Normandie,34.02642897383292,-118.30338642117529,Private room,50,1,1,2015-03-05,0.06,1,0
5851860,URBAN Oasis by DTLA/USC. RM 1,1545056,L,,Adams-Normandie,34.0282050454379,-118.30219189275923,Private room,60,2,18,2016-07-06,2.17,2,59
6046004,Master Suite (Private Bathroom),19200935,Guilherme,,Adams-Normandie,34.029301689822404,-118.29911131817782,Private room,72,1,8,2016-05-06,0.84,1,336
6504741,"USC, Central LA Room with Queen-Bed",2324191,Elisabeth,,Adams-Normandie,34.02991190701321,-118.29956042253426,Private room,69,1,6,2016-03-30,0.46,22,276
9280752,Private Room w/key in heart of LA,23480749,Javier & Miguel,,Adams-Normandie,34.034637255860936,-118.29894566164558,Private room,45,3,4,2016-02-23,0.46,3,89
13185828,Victorian Private Room + Fireplace,43025020,Amy,,Adams-Normandie,34.03135572438327,-118.29611839635716,Private room,80,1,6,2016-08-01,3.00,1,34
8924216,Small Private Room in L.A.,46666154,Liz,,Adams-Normandie,34.030179764408764,-118.29832799919575,Private room,54,1,10,2016-07-10,1.21,4,271
12136080,Comfortable and Beautiful Home,24905603,Kelley,,Adams-Normandie,34.0266321605308,-118.30112495941844,Private room,80,1,2,2016-05-17,0.73,2,158
9645396,URBAN Oasis close to DTLA/USC. RM 2,1545056,L,,Adams-Normandie,34.029443077482235,-118.30212965739834,Private room,60,2,14,2016-07-05,1.98,2,58
1471992,Room for Rent near USC,2324191,Elisabeth,,Adams-Normandie,34.0323560664128,-118.29984890334451,Private room,64,1,18,2015-11-22,0.51,22,277
13463056,Front Room in House,56667565,Fernanda,,Adams-Normandie,34.02568926514342,-118.29700899067863,Private room,35,1,4,2016-07-10,2.26,3,308
2560403,New Modern Studio near Downtown/USC,13108795,Linda And Gil,,Adams-Normandie,34.03391015384202,-118.30439981640149,Entire home/apt,60,1,29,2016-06-24,1.01,3,288
9063047,Private Room near USC,42074164,Debbie,,Adams-Normandie,34.029449991879865,-118.2992236567508,Private room,69,1,1,2016-04-06,0.25,3,262
12190450,Near downtown LA,65522382,Diana,,Adams-Normandie,34.034893057657484,-118.29153782107905,Private room,39,1,3,2016-07-22,1.23,1,0
11622888,USC front apartment - Downtown LA,12217297,David,,Adams-Normandie,34.02626742349453,-118.29473007956004,Private room,57,2,0,,,2,33
9048768,New Modern Studio Near Downtown/USC,13108795,Linda And Gil,,Adams-Normandie,34.03400827255426,-118.30533888986342,Entire home/apt,65,1,10,2016-07-16,1.15,3,243
1051837,Private Room near USC (b),2324191,Elisabeth,,Adams-Normandie,34.02794391424564,-118.29810667465286,Private room,69,1,20,2016-06-20,0.50,22,258
8327493,Quality Master Bedroom near USC,16723651,Tyler,,Adams-Normandie,34.03057835255905,-118.29762845452669,Private room,69,2,2,2015-10-22,0.21,1,0
9778002,Comfortable room with shared bath,3159697,Tam,,Agoura Hills,34.151034425554755,-118.7874396145467,Private room,55,2,3,2016-04-29,0.43,4,361
12610053,Beautiful Bedroom & private Bath,68446088,Maria,,Agoura Hills,34.150690693201895,-118.79119529730914,Private room,87,1,9,2016-07-31,2.73,1,331
3095680,Affordable Agoura Hills Private Rm,15744149,Lovie,,Agoura Hills,34.154897939892145,-118.755978132663,Private room,39,1,1,2016-02-29,0.19,2,365
5798058,Lovely room with a view,3159697,Tam,,Agoura Hills,34.150508622479336,-118.78746884848293,Private room,69,1,1,2015-05-10,0.07,4,363
6810048,Office Space,35649860,Max,,Agoura Hills,34.143178034194584,-118.74249461985796,Shared room,987,1,0,,,1,0
14019384,3BR Agoura Hills Waterfront House,86748234,Evolve Vacation Rental,,Agoura Hills,34.15113564584508,-118.79045086642468,Entire home/apt,285,4,0,,,1,141
1370927,"Big, Kid-Friendly House with Yard!",7434012,Tori,,Agoura Hills,34.152921675628264,-118.78920543907199,Entire home/apt,150,5,4,2015-07-11,0.20,1,0
2033686,cool mountainside studio,10264249,Laurie,,Agoura Hills,34.15481001782332,-118.75497567953613,Private room,50,1,0,,,1,365
5230843,"Heart Agoura Hills,  clean & bright",5706269,Mai,,Agoura Hills,34.15441783055395,-118.79038380814912,Private room,55,3,8,2016-05-28,0.52,3,361
4093938,Peaceful Modern Retreat Home,20984194,Jeremy,,Agoura Hills,34.15445495917184,-118.73926979297073,Entire home/apt,350,2,38,2016-06-03,1.72,2,10
7842682,Agoura Hills Rainbow View...,41322776,Danna,,Agoura Hills,34.15693484821792,-118.78812245658892,Entire home/apt,320,2,25,2016-08-01,2.17,1,335
5059964,Charming House on A Cul-de-sac,26128286,David,,Agoura Hills,34.15303233232593,-118.78732186515758,Private room,80,1,12,2016-06-29,0.66,1,333
13671213,Nice room in beutiful Mountains,67631110,Ester,,Agoura Hills,34.145308395396455,-118.77206555882867,Private room,40,3,0,,,1,152
8295931,Parisian large apartment,43126477,Rhiannon,,Agoura Hills,34.14885624481192,-118.75933867224526,Entire home/apt,129,2,3,2016-03-01,0.43,1,351
3510544,Agoura Hills Private Room ,17675084,Marlene,,Agoura Hills,34.16636397666929,-118.74870279925906,Private room,80,1,30,2016-06-27,1.29,1,0
6144355,Cozy Retreat w/Pvt Bath Near Malibu,31872518,Mary,,Agoura Hills,34.16401435452452,-118.77785570524453,Private room,65,1,28,2016-08-01,1.88,1,339
14180186,Lake house 20 minutes from beach,9043524,Sanyu,,Agoura Hills,34.14661895729297,-118.79055281130286,Private room,80,7,0,,,1,88
10576630,"Single Story House, Private Bd & Ba",54546599,Sean & Corinne,,Agoura Hills,34.15075682526282,-118.78700574826675,Private room,55,2,9,2016-07-10,2.27,1,25
4589416,3 Room Suite w/pvt kitchenette/bath,18090781,Linda,,Agoura Hills,34.13997526831079,-118.74433803551791,Private room,105,2,45,2016-07-17,2.49,1,334
6513704,Nice bedroom with shared bath,3159697,Tam,,Agoura Hills,34.15103579901806,-118.7876664556459,Private room,55,2,4,2016-03-29,0.37,4,347
8271459,Agoura Hills room near Malibu,43614705,Rick,,Agoura Hills,34.15658934975999,-118.78246362234988,Private room,75,1,0,,,1,365
639945,4 Bedroom Mid-Century Modern House ,3180490,Elizabeth & Kenji,,Agoura Hills,34.131198342946035,-118.72117315972892,Entire home/apt,475,7,38,2015-09-27,0.80,1,0
10562543,"2B, 2 1/2Bath right off HWY 101",32380257,Wendy,,Agoura Hills,34.14544585833396,-118.74378566799106,Entire home/apt,127,30,0,,,3,365
6239043,Private Cal King right off Hwy 101*,32380257,Wendy,,Agoura Hills,34.14530973448761,-118.74200298605905,Private room,62,30,13,2016-07-01,0.86,3,320
