id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13722058,Large bedroom with KING SIZE BED and heating,67654086,Cris,,Greater Dandenong,-37.947740000101625,145.14545089792398,Private room,41,1,0,,,2,365
10715212,Vella Room (your private Retreat),4651541,Lilia,,Greater Dandenong,-37.968336965862974,145.13720006491974,Private room,45,1,0,,,4,364
12692275,Comfortable Bedroom with Bathroom,68813725,Ivy,,Greater Dandenong,-37.977440829268524,145.20716150299737,Private room,100,1,0,,,1,91
10531333,i am friendly,54307006,Beatriz,,Greater Dandenong,-37.999523800709525,145.1779371048153,Entire home/apt,61,1,0,,,1,0
9537955,Melbourne garden hostel,34310230,Karen,,Greater Dandenong,-37.94200526576322,145.14545098825172,Shared room,20,1,7,2016-08-17,0.88,4,356
3554332,1 Bed room In a Town House,17896158,Raphael,,Greater Dandenong,-37.95487153827552,145.18267165068815,Private room,90,1,0,,,1,365
7030328,Cosy & quiet & comfortable,255875,Susan,,Greater Dandenong,-37.96051389051791,145.20584622549677,Private room,59,1,0,,,1,365
9665733,Simple Family House,49773227,Niroj,,Greater Dandenong,-37.967618928580606,145.18551829413332,Entire home/apt,90,1,0,,,1,0
753220,Furnished Bedroom in the Suburbs,3961962,Kuldeep,,Greater Dandenong,-37.95962495976938,145.17681317502974,Private room,75,1,0,,,1,365
690762,Room To Let Next to Chilsom Tafe,3529788,Thomas,,Greater Dandenong,-37.974133664891276,145.2195461397694,Private room,81,1,1,2014-03-01,0.03,1,0
10127911,Insaa Apatrments Dandenong - 2BR Apartment,39093981,Don,,Greater Dandenong,-37.99313620733862,145.20306427758246,Entire home/apt,198,1,0,,,5,365
10127951,Insaa Apartments Dandenong - 3BR Townhouse,39093981,Don,,Greater Dandenong,-37.991688514051006,145.20305902209125,Entire home/apt,248,3,0,,,5,364
5503903,Double bedroom with queen bed,755657,Galya,,Greater Dandenong,-37.96916198088059,145.20569335940584,Private room,59,1,0,,,1,365
11148934,Tuscan Villa in amazing views.,57964239,Dominic Pappalardo,,Greater Dandenong,-37.952764272686515,145.22703705096424,Private room,75,1,0,,,1,365
6561521,Melbourne Garden Hostel Room1,34310230,Karen,,Greater Dandenong,-37.942195743893556,145.1446049878557,Shared room,40,1,4,2015-11-20,0.28,4,365
12988604,A Third Floor Apartment Close to Amenities,64704997,Olga,,Greater Dandenong,-37.95632486544817,145.18197316720014,Entire home/apt,119,3,0,,,1,363
13612200,"Pretty, comfortable and chilled",78790572,Marko,,Greater Dandenong,-37.961120219914996,145.15463962497148,Private room,40,1,0,,,1,365
13033196,2nd bedroom in large modern home.,33329279,Myrna,,Greater Dandenong,-37.96982275825002,145.20971128341972,Private room,48,1,0,,,2,339
6337652,"Clean, Cosy & Comfy (Westall Room)",4651541,Lilia,,Greater Dandenong,-37.96625634985826,145.1367165061292,Private room,45,2,0,,,4,363
6339360,Ideal for  Solo traveller (Effie),4651541,Lilia,,Greater Dandenong,-37.96800243528063,145.1374797851634,Private room,36,1,0,,,4,365
10239025,Cozy Room No.2 in Quiet Court,50855053,Bob,,Greater Dandenong,-37.947000731771794,145.1940032687346,Private room,40,1,2,2016-04-16,0.34,4,365
12992391,Brandnew clean cozy master room with own ensuite,46687156,Jenny,,Greater Dandenong,-37.96435926997878,145.16197545365753,Private room,49,1,6,2016-08-25,2.07,1,81
12501251,Private bedroom Double Bed,67654086,Cris,,Greater Dandenong,-37.94692724716111,145.14544971337617,Private room,30,2,2,2016-07-23,1.09,2,165
7095182,New Executive Apartment furnished,6460810,Deborah,,Greater Dandenong,-37.98580018658054,145.2220528724435,Entire home/apt,145,2,25,2016-08-30,2.98,2,296
11093948,Chinese style master bedroom,20584468,Dorothy,,Greater Dandenong,-37.95144123613693,145.17652162081012,Private room,100,2,5,2016-08-22,1.00,5,309
14142272,Modern townhouse - tranquil spot,6244235,Cale,,Greater Dandenong,-38.0093766296383,145.15737116261755,Private room,78,1,0,,,1,262
5001593,Charming Rustic Open Plan Home ,25791816,Rachelle,,Greater Dandenong,-38.05874752422421,145.22129394417777,Private room,129,5,0,,,1,364
13226563,Cosy Family Home,39906565,Rohan,,Greater Dandenong,-38.00600053230056,145.14267696354995,Private room,36,1,1,2016-06-19,0.38,1,203
14766827,Great Room with Comfortable bed.,92106729,Zubin,,Greater Dandenong,-37.988597881292414,145.1723591608977,Private room,180,1,0,,,1,365
8412000,Insaa Apartments Dandenong - 3BR townhouse,39093981,Don,,Greater Dandenong,-37.99226859386479,145.20285449366526,Entire home/apt,248,3,0,,,5,362
9976360,New Spacious Room & Ensuite,51263216,Azita,,Greater Dandenong,-37.96128785193587,145.1574560688041,Private room,69,1,2,2016-07-23,0.86,2,363
9887196,Cosy Room No.1 in Quiet Court,50855053,Bob,,Greater Dandenong,-37.94680381448184,145.19414883792552,Private room,40,1,3,2016-03-17,0.36,4,365
6339558,Tell Mom your OK (Westall Room),4651541,Lilia,,Greater Dandenong,-37.966482612177266,145.13829049860666,Private room,50,1,0,,,4,365
10283006,Cosy 3 Rooms in Quiet Court,50855053,Bob,,Greater Dandenong,-37.94716946815007,145.19290070752714,Entire home/apt,128,1,2,2016-07-31,0.38,4,360
6384614,"Feel at home, close to facilities",33277326,Nusrat,,Greater Dandenong,-37.964165992752186,145.18005003824993,Private room,59,1,1,2015-11-22,0.10,1,365
4287875,small and comfy .,22260925,Melroy,,Greater Dandenong,-37.98317663259588,145.17193088883062,Private room,50,2,23,2016-09-01,1.02,1,350
10239227,Cosy Room No.3 in Quiet Court,50855053,Bob,,Greater Dandenong,-37.9457565653389,145.19263070970723,Private room,48,1,2,2016-06-24,0.32,4,365
6156890,Charming Melbourne private room,31940564,Qing,,Greater Dandenong,-38.003320428396925,145.1557055792516,Private room,65,1,11,2016-07-09,0.78,1,307
7468159,Insaa Apartments Dandenong - 4BR Townhouse,39093981,Don,,Greater Dandenong,-37.992598593319514,145.20526999793623,Entire home/apt,299,3,0,,,5,365
6682197,2 bedroom house w/ lock-up garage,34976597,Matt,,Greater Dandenong,-37.97452575446279,145.15645907832263,Entire home/apt,110,2,16,2016-02-29,1.29,1,78
11762465,Fabulous single room,20584468,Dorothy,,Greater Dandenong,-37.951353581414494,145.1780672932144,Private room,30,1,9,2016-08-31,1.63,5,352
12057753,CHEAP CLEAN FURNISHED ROOM,24270740,Zijing,,Greater Dandenong,-37.979788953138886,145.2072499820566,Private room,34,1,4,2016-07-23,2.11,1,363
10927751,Room for rent noble park,365556,Rebecca,,Greater Dandenong,-37.96966735515187,145.1722550510247,Private room,59,1,0,,,1,365
10616480,Large family  home in quiet area.,33329279,Myrna,,Greater Dandenong,-37.970011725581884,145.2116178613867,Private room,55,1,6,2016-06-03,0.88,2,346
11763524,Charming single room,20584468,Dorothy,,Greater Dandenong,-37.95179958288759,145.1780357581808,Private room,30,1,18,2016-08-25,3.23,5,331
11763442,Spacious double bedroom,20584468,Dorothy,,Greater Dandenong,-37.95321690031212,145.17849261446204,Private room,45,2,7,2016-08-08,1.30,5,358
11762629,Amazing double bedroom,20584468,Dorothy,,Greater Dandenong,-37.95354486636671,145.17825351185434,Private room,45,2,8,2016-07-10,1.44,5,353
14481039,Master Bedroom with Ensuite near Train Station,38156440,Jacob,,Greater Dandenong,-37.940444491129696,145.151473450789,Private room,40,1,0,,,4,20
11303220,Nine Dragons Club House,59071825,Sisly,,Greater Dandenong,-38.04321761832957,145.15159850445824,Entire home/apt,1802,1,0,,,1,365
7463312,Insaa Apartments Dandenong - 4BR Townhouse,39093981,Don,,Greater Dandenong,-37.991887783493006,145.20308472456975,Entire home/apt,299,3,2,2015-12-26,0.16,5,364
1072718,"54 Hemming Street, Dandenong, 3175.",5900795,Milton,,Greater Dandenong,-37.981823325271485,145.2034816980959,Private room,50,1,0,,,1,365
13227511,convenient location,74249821,Shivaz,,Greater Dandenong,-37.971908899195796,145.18712371631824,Private room,32,1,0,,,1,84
14600160,湿地旁的橄榄树之家 The olive tree house,60302994,Tao,,Greater Dandenong,-38.003564726501885,145.15597996219543,Entire home/apt,189,1,0,,,1,340
10929369,Quiet Private Room,56024430,Anthony,,Greater Dandenong,-37.94841512560919,145.21153680573462,Private room,120,1,0,,,1,0
14269674,2 rooms have ensuite. 1 room share b/room.new home,2558544,Justine,,Greater Dandenong,-38.014529578395525,145.20232311947933,Private room,45,5,0,,,1,345
13023793,"Classic, quiet, safety, clean house",44557677,Junmei,,Greater Dandenong,-37.99446242574093,145.1501875713697,Private room,55,1,3,2016-09-02,3,1,336
