id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
543823,Nice large bedroom in Outremont,2673521,Rémi,,Outremont,45.52014104863292,-73.612949624787,Entire home/apt,105,1,8,2014-08-22,0.17,2,193
533084,parisian apartment in Outremont ,2619674,Maude,,Outremont,45.51822445711379,-73.59651255109493,Entire home/apt,50,4,9,2014-10-05,0.19,1,0
488959,Nice flat in great neighbourhood,110792,Philipp,,Outremont,45.51865768809362,-73.6127129898752,Entire home/apt,80,2,0,,,1,0
5915025,Big Gorgeous Sunny Gem w Roof Deck,5162168,Adam,,Outremont,45.52100087892324,-73.61349289378458,Entire home/apt,150,3,5,2015-08-04,0.41,1,0
753348,Cozy apartment in Montreal,3945222,Adeline,,Outremont,45.52014033038661,-73.61552032341503,Entire home/apt,60,2,3,2016-03-12,0.16,1,255
152630,Nice and sunny condo/Outremont,734359,Nicole,,Outremont,45.517190413136454,-73.61798789141446,Entire home/apt,110,5,2,2015-08-24,0.21,1,365
1564714,Outremont - Mile-End,8323794,Jean-François,,Outremont,45.522519396446576,-73.60901996025203,Entire home/apt,50,7,9,2015-12-14,0.28,1,272
6502061,The coolest location in Montreal.,24558497,Anna,,Outremont,45.52373347247267,-73.61228966214341,Private room,48,1,19,2016-03-22,1.83,1,323
382929,Must love cats - flat in Montreal!,1890533,Nadia,,Outremont,45.5207602896225,-73.61280805680707,Private room,40,3,9,2016-04-12,0.42,1,151
3821194,Super chill Private room Montréal,9556722,Jean,,Outremont,45.52032585062212,-73.60906546629847,Private room,50,1,2,2016-04-12,0.75,2,338
1826341,"Belle chambre meublé, près Mile-End",9556722,Jean,,Outremont,45.51928585035495,-73.6096203776152,Private room,50,5,1,2015-12-30,0.24,2,365
4614098,Charming Bedroom in Mile End Apt.,23904087,Jonas,,Outremont,45.516546791033846,-73.59725770567397,Private room,34,4,0,,,1,60
7111604,Nice room available in Outremont,37253135,Luc,,Outremont,45.523438142353555,-73.6091085635683,Private room,60,1,0,,,1,365
8539865,Cutie Patootie Montreal Apartment,34470961,Joelle,,Outremont,45.52000961148993,-73.61210795573558,Private room,35,1,1,2015-10-05,0.14,1,361
4823922,Mile End 4 1/2 Montreal,3649315,Coleen,,Outremont,45.523623243046686,-73.60806886681678,Entire home/apt,75,2,1,2015-09-08,0.13,1,0
11639279,Grande maison ancienne a louer,52992470,Soraya,,Outremont,45.51536393655244,-73.6182126429514,Entire home/apt,284,3,0,,,2,288
4661840,Beautiful and sunny Mile-End room,24122606,Anastasia,,Outremont,45.525220024340136,-73.61205665874769,Private room,40,1,0,,,1,0
12232129,A beautiful room in the Mile-End,1264979,Ida,,Outremont,45.52016348200668,-73.60119699811654,Private room,30,1,0,,,1,323
5550435,Cozy apt in the ❤️ of Vibrant Mtl,7155869,Mahnoush,,Outremont,45.51637477298927,-73.59207937616189,Entire home/apt,78,1,0,,,1,364
7678097,Charming and Cozy apartment :),2176340,Camille,,Outremont,45.523709649986785,-73.61295667895334,Entire home/apt,100,1,6,2016-02-14,0.71,1,58
6302619,Gorgeous 2 BR Outremont/Mile End,3502134,Erin,,Outremont,45.523374595226215,-73.61176825857738,Entire home/apt,120,2,17,2015-12-08,1.55,1,246
7417108,Luminous City Oasis in Mile End,38855266,Aude,,Outremont,45.52129504482387,-73.60832339297541,Entire home/apt,117,1,12,2016-01-02,1.28,1,305
3038516,"Sunny, Zen apartment in Mile End.",15472709,Milena,,Outremont,45.51277959643936,-73.59734761439483,Entire home/apt,98,4,19,2015-10-14,0.81,1,39
6932491,Bright Apartement near subway,13281477,Jérôme,,Outremont,45.5190157019448,-73.60851488180684,Entire home/apt,99,2,1,2015-08-03,0.11,1,0
5354033,Chambre privée dans luxueux 7 1/2,27751962,Mariel,,Outremont,45.51645372980145,-73.62116095087494,Private room,40,2,0,,,2,364
12759923,Perfect Sunny Mile-End Spot,63277027,Sarah,,Outremont,45.52261505978066,-73.60754524963662,Private room,20,1,0,,,1,0
1225818,Pretty apartment in Outremont,6119952,Lucy,,Outremont,45.52355436288803,-73.6138841529128,Entire home/apt,68,3,5,2015-10-20,0.22,1,357
9712988,Appartement blvrd edouard montpetit,50144325,Sacha,,Outremont,45.50907916405228,-73.61438730666848,Private room,30,1,0,,,1,4
3717632,"A big, sunny, and cozy nest.",18981142,Erin,,Outremont,45.52111120676581,-73.61135365315793,Entire home/apt,125,2,3,2015-08-03,0.30,1,244
7322256,"Très bien placé,idéal pour familles",38260272,Imen,,Outremont,45.520837104669134,-73.61310276135488,Entire home/apt,135,2,5,2015-12-31,0.54,1,189
6044615,**Room available in a 6 1/2!**,31370458,Francis,,Outremont,45.507256121821335,-73.61631416815953,Private room,15,7,1,2015-08-31,0.12,1,100
11828435,Cozy Mile End Apartment,608475,Vaughn,,Outremont,45.52103528469118,-73.6027699434924,Entire home/apt,59,2,2,2016-04-17,2,1,51
5405882,Appartement & quartier incroyable,28022364,Elvis,,Outremont,45.52028190285898,-73.61061258593743,Private room,30,1,0,,,1,0
11959468,"Beautiful, family friendly house",29859877,Johanne,,Outremont,45.5189635685639,-73.60502888895341,Entire home/apt,350,3,0,,,1,38
8420408,private room in a cozy appartment,7858088,Alonso,,Outremont,45.51488634176808,-73.5911473105473,Private room,19,1,1,2016-04-28,1,2,365
7535248,Confortable bedroom in Outremont,33397809,Sahou,,Outremont,45.52104814167468,-73.61487635659023,Private room,30,2,0,,,2,0
4501931,Gorgeous 2BD Plateau Apt w/ Garden,9878357,Liane,,Outremont,45.52259141414626,-73.60678381795444,Entire home/apt,100,7,2,2015-07-24,0.18,1,310
