id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10929959,"""THE SURF TREEHOUSE""",52977869,Sophie,CLARENCE VALLEY COUNCIL,-29.480752865245172,153.3407478344147,Entire home/apt,150,2,0,,,1,351
1832359,Aprt.8  Beachside Yamba,9582895,Cheryl,CLARENCE VALLEY COUNCIL,-29.444605756747006,153.36495114320064,Entire home/apt,175,2,29,2016-03-31,1.05,1,312
3534342,A Beach Escape at The Sands Resort,17792349,Jeannette,CLARENCE VALLEY COUNCIL,-29.44421525385765,153.36296862444257,Entire home/apt,175,7,2,2015-01-18,0.11,1,305
11396672,2 bed townhouse at Resort,55472952,Yamba Beachside Accomodation,CLARENCE VALLEY COUNCIL,-29.44564681801176,153.36478294787068,Entire home/apt,245,2,0,,,9,365
9559819,Grafton Pet Friendly Library Room,9096483,John,CLARENCE VALLEY COUNCIL,-29.6931588284349,152.94265205503456,Private room,125,1,1,2015-12-07,0.25,4,346
1211271,Spend some time down on the farm.,6614008,Susan,CLARENCE VALLEY COUNCIL,-29.890969302764496,153.03549456586416,Private room,103,1,1,2016-01-07,0.34,1,363
4568020,Ocean Drift Beach House,23234764,Michael,CLARENCE VALLEY COUNCIL,-29.774822230217733,153.29787739104006,Entire home/apt,155,2,14,2016-01-26,0.90,2,330
12158565,The Breakers Apartment,58116844,Mark,CLARENCE VALLEY COUNCIL,-29.443222674974106,153.36594973064888,Entire home/apt,90,7,0,,,2,349
11152628,Walk to cafes and beaches,6475607,Amy,CLARENCE VALLEY COUNCIL,-29.438977173740202,153.36251350339563,Private room,85,1,0,,,1,365
5490766,Remote Rural Share Accomodation,28470948,Glenda,CLARENCE VALLEY COUNCIL,-30.153325943854167,152.56490043015177,Private room,50,1,0,,,1,365
1183460,Acreage - 25 min drive from Grafton,6473690,Jeannie,CLARENCE VALLEY COUNCIL,-29.4806695936715,152.83413074830543,Private room,40,2,0,,,1,307
8000137,Birdsong Cabin Iluka NSW,42230199,Mark,CLARENCE VALLEY COUNCIL,-29.404049517553826,153.3496716823348,Entire home/apt,95,1,2,2016-03-29,1.43,1,354
5484169,Family holiday house with pool,28440834,Eric,CLARENCE VALLEY COUNCIL,-29.438431654519587,153.34228108211008,Entire home/apt,250,1,2,2016-01-09,0.63,1,0
5118479,Treetop Riverview Hideaway in Town,4721017,Maggie,CLARENCE VALLEY COUNCIL,-29.458128413387243,153.2036401413599,Private room,90,1,15,2016-03-12,1.25,1,333
11325725,5 bedroom beach house,55472952,Yamba Beachside Accomodation,CLARENCE VALLEY COUNCIL,-29.437248306919017,153.3611880032907,Entire home/apt,390,2,0,,,9,325
2882812,"""A hidden gem in picturesque Yamba""",14733532,Ann,CLARENCE VALLEY COUNCIL,-29.4381134457953,153.36522059471673,Entire home/apt,155,1,64,2016-03-25,2.72,1,314
10813377,Woolis Hidden Treasure,33100490,Dana,CLARENCE VALLEY COUNCIL,-29.866081652174366,153.26636378559178,Entire home/apt,175,1,1,2016-03-29,1,1,365
9567911,Grafton Pet OK French Doors & Porch,9096483,John,CLARENCE VALLEY COUNCIL,-29.69294406648796,152.9411421237466,Private room,125,2,2,2016-02-21,0.63,4,332
3752498,Kingstudio Creative Stays : Room 3,10900446,Julie,CLARENCE VALLEY COUNCIL,-29.44993216683115,153.20289377028564,Private room,150,1,1,2015-01-01,0.07,3,360
6767403,"The Purple House, Iluka",35431679,Wendy,CLARENCE VALLEY COUNCIL,-29.40269807347938,153.34874957366424,Entire home/apt,120,2,10,2016-01-29,1.28,1,121
11087298,Talinga-Unit 2. AMAZING LOCATION!,56930150,Paul,CLARENCE VALLEY COUNCIL,-29.439077711847112,153.3647430643209,Entire home/apt,175,2,0,,,1,157
4271095,"Water views, pets, kangaroos",12128698,Mark,CLARENCE VALLEY COUNCIL,-29.438369608795536,153.35193584158483,Entire home/apt,134,2,32,2016-03-31,1.83,1,308
3733006,Kingstudio Creative Stays : Dormer,10900446,Julie,CLARENCE VALLEY COUNCIL,-29.447988893513735,153.20244827609977,Private room,150,1,0,,,3,360
3404781,Relaxed & Comfortable Stay,11718492,Mick,CLARENCE VALLEY COUNCIL,-29.437140742290108,153.34460954830737,Shared room,74,1,21,2016-01-02,1.10,1,362
9560836,Grafton Pets Welcome Twin Singles,9096483,John,CLARENCE VALLEY COUNCIL,-29.693083271106104,152.9415361957221,Private room,95,1,2,2015-12-31,0.62,4,349
9297943,What a view! Spacious & easy-living,12959611,Geoffrey,CLARENCE VALLEY COUNCIL,-29.438916328833088,153.36706876395712,Entire home/apt,180,2,0,,,1,267
3230532,The Grey House,1141853,Lesley,CLARENCE VALLEY COUNCIL,-29.69097126508861,152.9295019369,Entire home/apt,175,2,7,2016-01-05,0.65,1,251
10732770,3 Bedroom Ocean Apartment,55472952,Yamba Beachside Accomodation,CLARENCE VALLEY COUNCIL,-29.444261373321986,153.3645709644812,Entire home/apt,250,2,0,,,9,365
10732406,3 Bdrm Ocean Penthouse,55472952,Yamba Beachside Accomodation,CLARENCE VALLEY COUNCIL,-29.445029767675777,153.3628694601877,Entire home/apt,300,2,0,,,9,357
10731833,3 Bedroom Luxury Villa,55472952,Yamba Beachside Accomodation,CLARENCE VALLEY COUNCIL,-29.445468540889046,153.36328456380295,Entire home/apt,220,2,2,2016-02-28,0.87,9,361
9683108,Motel Style Room and Ensuite,50018154,Econo,CLARENCE VALLEY COUNCIL,-29.69283474059846,152.9367606199337,Private room,83,1,1,2016-01-04,0.33,1,180
12041719,3 bedroom beach side unit with pool,64466613,Robert & Michelle,CLARENCE VALLEY COUNCIL,-29.44231679567518,153.36440027437777,Entire home/apt,97,2,0,,,1,330
10598009,Light & bright room in Yamba.,50021641,Lois,CLARENCE VALLEY COUNCIL,-29.424647125793722,153.33262447123244,Private room,68,1,1,2016-02-03,0.49,1,362
3186439,Skipper's Watch,16155053,Gordon,CLARENCE VALLEY COUNCIL,-29.866828819351664,153.26692589584115,Entire home/apt,115,1,7,2016-01-03,0.65,3,343
5991820,Fabulous location & ocean views,16519121,Julie,CLARENCE VALLEY COUNCIL,-29.438709648798408,153.36463598843088,Entire home/apt,134,3,6,2016-03-17,1.53,1,287
6927566,OCEAN LINKS YAMBA (Dog friendly),30598373,Nola,CLARENCE VALLEY COUNCIL,-29.443982933029943,153.36246730431088,Private room,50,3,1,2016-02-10,0.56,2,181
