id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6628575,Charming Bedroom w/Private Entrance,19752500,Julia,,Acorn-Acorn Industrial,37.805924171988956,-122.28888240840386,Private room,65,2,31,2016-03-26,3.06,1,18
6093412,Cozy room close to Bart Station,31615255,James,,Acorn-Acorn Industrial,37.805462299217425,-122.28541683096581,Private room,80,1,0,,,1,365
1914602,Private Room / Adams Point,2442011,Irene,,Adams Point,37.81059424577209,-122.25858919888209,Private room,70,1,10,2016-04-25,0.36,1,352
12809757,"Bunk in shared room, co-living home",57076265,Euclid,,Adams Point,37.81265162285878,-122.25114093948957,Shared room,60,2,0,,,5,365
1759482,Adams Point/Lake Merritt Beauty!,569154,Lana,,Adams Point,37.81380600422945,-122.251969795461,Entire home/apt,90,3,25,2016-04-12,0.83,1,350
1515858,"3  Bed Craftsman Home, Lake Merritt",8072827,Susan,,Adams Point,37.81168080427506,-122.25406608758033,Entire home/apt,300,1,18,2016-04-16,0.82,1,210
7734264,2 Bedroom Apartment-Lake Merritt,40646536,Melissa,,Adams Point,37.81007305274561,-122.25009503896865,Entire home/apt,55,2,2,2016-01-25,0.22,2,0
10528297,Spacious  Adams Point 2 Bdrm/2Bath,54290204,Josephine,,Adams Point,37.81314647885692,-122.25749697663383,Entire home/apt,250,1,0,,,1,233
10839688,"Living  room, Lake Merritt Oakland",33330929,Ashenafi,,Adams Point,37.81436646604338,-122.25193860680086,Shared room,40,1,0,,,1,365
1699190,Stylish Apt by vibrant Lake Merritt,3168675,Ben,,Adams Point,37.81225602611784,-122.25084490426505,Entire home/apt,175,2,16,2016-04-21,0.52,1,354
10825161,2 Bedroom Apt in Lake Merritt,40646536,Melissa,,Adams Point,37.81158467330057,-122.25042761265276,Entire home/apt,300,1,0,,,2,0
3198532,Entire Apt Lake Merritt w/Balcony,16209229,Zach,,Adams Point,37.81037924882439,-122.25690085725641,Entire home/apt,100,3,24,2015-10-29,1.10,1,0
342204,Beautiful & Spacious - sleeps 3,1736185,Elena,,Adams Point,37.81068637230736,-122.25524277282801,Entire home/apt,150,21,2,2014-04-12,0.04,1,0
3921382,Footsteps from Lake Merritt!,20311575,Max,,Adams Point,37.809853216066294,-122.25491410322837,Entire home/apt,125,4,1,2014-08-31,0.05,1,140
3924119,Adam's Point Gem - 1br with balcony,3011937,Sarah,,Adams Point,37.810278621682,-122.25460280777297,Entire home/apt,85,3,0,,,1,0
7332795,Beautiful Studio by Lake Merritt,1183794,Eric,,Adams Point,37.81120686883661,-122.25228430709996,Entire home/apt,120,2,12,2016-04-15,1.42,1,275
10682665,2 Pvt Rooms-Up to 4 Guests-Adams Pt,2416169,Gloria,,Adams Point,37.81171007538018,-122.25633645482493,Private room,120,1,0,,,3,329
