id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6378734,"LOCATION NE ""Columbia"" King & day",17261537,Tiger & Peacock,,Sullivan's Gulch,45.533690563125816,-122.64837658939707,Private room,75,1,46,2016-06-24,3.33,13,238
12819993,Adorable Bedroom in NE Portland,15661721,Alison,,Sullivan's Gulch,45.532106685559235,-122.644472266018,Private room,70,1,0,,,1,0
7547444,Near Oregon Convention Center,1770933,Anastasia,,Sullivan's Gulch,45.532235639717626,-122.64542490867335,Private room,47,1,78,2016-07-02,6.86,2,319
6019539,Private Suites near it all- Room #7,3029738,Phil,,Sullivan's Gulch,45.53191898030711,-122.64842754117804,Private room,110,1,11,2016-06-13,3.08,6,358
3635579,Spacious Room & Private Bath,274455,Eugenia,,Sullivan's Gulch,45.53277483588532,-122.64843402190499,Private room,85,2,107,2016-06-27,4.50,1,314
10885290,LOCATION NE : Queen Bunk Bed-TOP,17261537,Tiger & Peacock,,Sullivan's Gulch,45.53424742759364,-122.64824366243107,Shared room,40,1,24,2016-06-30,4.62,13,113
6690925,Cozy APT in center Portland Oregon,34951548,Nicole,,Sullivan's Gulch,45.53390003542872,-122.650292210428,Private room,35,5,1,2015-06-15,0.08,1,0
10033273,Bright 20's Condo — Comfy King Bed,3220199,Meggan,,Sullivan's Gulch,45.53406252781289,-122.64767314115164,Entire home/apt,100,2,1,2016-03-20,0.28,1,0
5134256,Private suites near it all- Room #4,3029738,Phil,,Sullivan's Gulch,45.53327352847426,-122.64687008708758,Private room,70,1,86,2016-06-18,5.12,6,348
5133946,Private suites near it all- Room #3,3029738,Phil,,Sullivan's Gulch,45.533866337340015,-122.64775700369785,Private room,100,1,77,2016-06-16,4.55,6,350
10907864,LOCATION NE : Queen Bunkbed -BOTTOM,17261537,Tiger & Peacock,,Sullivan's Gulch,45.53417600078901,-122.64692082305606,Shared room,40,1,18,2016-06-24,3.62,13,349
6122852,"LOCATION NE ""Willamette"" Adjoining",17261537,Tiger & Peacock,,Sullivan's Gulch,45.53419124271865,-122.64797357871561,Private room,60,1,66,2016-06-30,4.79,13,187
6106997,"LOCATION NE! ""Mt Hood"" : King bed",17261537,Tiger & Peacock,,Sullivan's Gulch,45.5344912173247,-122.64688297158196,Private room,75,1,74,2016-06-29,5.35,13,360
