id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11204286,Family friendly/California king,56227310,Jose,,Amphitheater And Water Park,32.581881678016465,-117.00194036983297,Private room,49,1,7,2016-06-26,4.57,2,360
7972006,Welcome to Sunset Suite,42066439,Alicia,,East Lake,32.653028883813334,-116.9768121144805,Private room,59,2,7,2016-06-07,0.76,1,80
7727710,San Diego/Eastlake. Gated community,40606235,Maria,,East Lake,32.66147659114107,-116.97181345668919,Entire home/apt,150,1,1,2015-08-23,0.09,1,0
13124681,Townhome in Eastlake,66918996,Carlos,,Eastlake Trails,32.63869423281108,-116.95125174294384,Entire home/apt,120,2,3,2016-06-30,3,1,329
3469225,Bedroom suite in Large new home,4636507,Cristina,,Eastlake Vistas,32.638942287795174,-116.93889078990057,Private room,70,1,0,,,2,335
877473,Private Bedroom in Newer Home,4636507,Cristina,,Eastlake Vistas,32.638284937291864,-116.93937259634887,Private room,70,2,23,2016-05-02,0.63,2,316
3124507,"Great view to mountains,lake,trails",15870464,Monique,,Eastlake Vistas,32.63718313206056,-116.93475188940502,Private room,90,2,8,2016-06-26,0.31,3,365
3432507,2 bedrooms with shared bath,15870464,Monique,,Eastlake Vistas,32.63759388074879,-116.93573742101118,Private room,150,2,1,2014-07-15,0.04,3,361
3249729,Near to Olympic Training center,15870464,Monique,,Eastlake Vistas,32.63758801738468,-116.93495940725289,Private room,90,2,2,2014-09-02,0.08,3,361
11756336,Chula Vista Golf Course House,39158621,Julie,,Estlake Greens,32.635328200057586,-116.95875642496756,Entire home/apt,399,2,2,2016-05-08,0.59,5,303
12173670,Eastlake Green room available,65401645,Louie,,Estlake Greens,32.64735625334102,-116.95533591355762,Private room,58,1,1,2016-05-07,0.48,1,0
13157364,Recamaras amuebladas con baño,73459215,Marisela,,Estlake Greens,32.63434166600026,-116.95356688568054,Private room,55,3,0,,,1,365
9756570,Family Home in SoCal (Eastlake),49508763,Alvaro,,Estlake Greens,32.628249815897505,-116.96131306501825,Entire home/apt,300,7,2,2016-06-02,0.32,1,308
10687910,Clean & Sweet Home 2,47746355,Yun,,Estlake Greens,32.627788056419654,-116.9593990645865,Private room,45,1,12,2016-07-04,2.28,2,174
7938260,1 bedroom in San Diego.,40442827,Gary,,Lynwood Hills,32.62783427024648,-117.02753472156856,Private room,35,2,22,2016-07-04,2.22,4,340
10779932,2 Bedrooms in San Diego area.,40442827,Gary,,Lynwood Hills,32.628429419553804,-117.0275475259217,Private room,45,2,9,2016-07-04,1.85,4,334
