id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11187767,Huge Seacliff Penthouse With Views,58242037,Jonathan,,Seacliff,37.77968470054454,-122.51047169622683,Entire home/apt,400,2,3,2016-06-25,0.88,1,152
6938818,Best Secret in Town,36381578,Harris,,Seacliff,37.780659020499094,-122.50563477930223,Private room,99,3,23,2016-06-16,1.85,2,187
9395222,"Ocean Beach, Lands End Escape",25963295,Tyler,,Seacliff,37.78143337110802,-122.50517932748954,Entire home/apt,155,1,45,2016-06-19,5.87,1,167
8388658,Mid-century Seacliff near GG Bridge,9996441,Howard,,Seacliff,37.78766423088835,-122.48915222761799,Entire home/apt,895,3,0,,,1,0
7856443,The Real San Francisco #2,6076870,Todd And Tatyana,,Seacliff,37.78213277410354,-122.49273026951246,Entire home/apt,195,2,4,2016-06-22,2.45,2,23
4781448,3 Bd 2.5 Ba Full Flat Condo w Views,13112558,Pam,,Seacliff,37.781796503922656,-122.49249210833337,Entire home/apt,395,3,6,2016-04-04,0.55,1,5
1427660,Charming Studio Apt at Ocean Beach,2275604,Laurie,,Seacliff,37.77523612890901,-122.50913745067113,Entire home/apt,150,2,236,2016-06-24,6.81,1,259
8087607,Single Room Beautiful Beach Condo,3264449,Keith,,Seacliff,37.77531800696514,-122.511620556222,Private room,79,1,0,,,1,0
9904485,Great Room!,13046907,John,,Seacliff,37.78548685790055,-122.48801127129538,Private room,195,1,0,,,2,0
3168359,Charming & Private Ideal location,16071511,Jamie,,Seacliff,37.77931903796439,-122.50963522313913,Entire home/apt,192,3,80,2016-07-02,3.55,2,128
10961737,Spacious 1bd with balcony,55986312,Djibril,,Seacliff,37.78556600758731,-122.48872855186117,Private room,300,1,0,,,1,365
69681,Panorama Pacific View,127367,Annette,,Seacliff,37.77706906926253,-122.50923187258286,Entire home/apt,325,18,5,2016-03-24,0.09,25,365
1931937,Blocks from GG Park & Ocean Beach,7932270,Noam,,Seacliff,37.78156408540695,-122.49442445483002,Private room,85,3,36,2016-06-16,1.22,2,4
2134100,Ocean Beach hilltop cottage,10889606,Marty And Alexis,,Seacliff,37.78388809323231,-122.50855676227975,Entire home/apt,135,1,176,2016-06-06,5.95,1,257
9824673,STUNNING HOUSE BY OCEAN BEACH -Long term 30+ days!,49499644,Denise,,Seacliff,37.7818035372149,-122.50732741471818,Entire home/apt,175,30,4,2016-06-15,1.10,1,323
8001958,Ocean and park front panoramic view,24591867,Raul,,Seacliff,37.780707805327296,-122.50915996453602,Entire home/apt,150,1,0,,,1,2
8411606,comfy oceanside nest,21303289,Eugenia And Alessandro,,Seacliff,37.7848860798736,-122.49287168597301,Private room,105,2,24,2016-06-27,3.12,1,34
5218679,"Edwardian condo, master bedroom",249857,Carissa,,Haight Ashbury,37.769947496539636,-122.44819344864447,Private room,120,1,1,2016-03-03,0.25,2,0
8084655,Spacious Room in Victorian Mansion,22203902,Jeffrey,,Haight Ashbury,37.77262252678248,-122.44814440810094,Private room,180,1,0,,,1,0
11169698,Heart of the Haight // Private Bed + Bath,1110816,Meredith,,Haight Ashbury,37.76949655596814,-122.45319678881889,Private room,120,1,1,2016-06-27,1,1,4
1605483,"Cozy Blue Room: Haight, Central SF!",1125797,Siobhann,,Haight Ashbury,37.765510456787375,-122.44945962848026,Private room,116,2,58,2016-06-27,1.98,1,349
6812162,1 bdrm in beautiful Victorian home,35662871,Julie,,Haight Ashbury,37.76763218706682,-122.45009111892888,Private room,225,2,2,2015-10-14,0.21,1,0
1827776,Upper Terrace Cottage,9286303,RA Tahoe Rentals,,Haight Ashbury,37.766616005829526,-122.44227821307771,Entire home/apt,258,3,1,2015-03-26,0.06,1,217
