id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7716463,"Surf, Bed & Desk",31920354,Liz,City of Capitola,36.96140293451407,-121.96493164275338,Private room,100,2,0,,,5,358
7501360,"Private Room - Capitola, California",14508019,Andrew,City of Capitola,36.97889335962496,-121.95629726761315,Private room,62,1,21,2015-10-09,7.78,1,63
2816725,Pleasure Point Surf and Relaxation,14408550,Siobhan,City of Capitola,36.95763628431033,-121.97325075394048,Private room,90,5,1,2014-07-28,0.07,1,125
6784210,Santa Cruz Simple - Master Bedroom,13873697,Dana,City of Capitola,36.97480724615936,-121.97200727617104,Private room,95,1,1,2015-06-14,0.24,4,103
1587117,Luxury condo by the beach,8143067,Tara,City of Capitola,36.975472783149726,-121.95134824443853,Private room,165,1,34,2015-10-04,1.32,1,348
6852467,Tranquil Master Bdrm w Private Bath,21567557,Amy & Eli,City of Capitola,36.97411467191129,-121.97165729888516,Private room,95,1,0,,,2,116
1187783,Modern Designer: Amazing Location,4123746,Lilian,City of Capitola,36.95955623633421,-121.97234829702299,Entire home/apt,500,2,64,2015-10-12,2.27,1,66
31721,PrivatePleasurePtBeachCottageHottub,136376,Annie,City of Capitola,36.959265063449024,-121.97281790694775,Entire home/apt,190,3,10,2015-09-22,0.28,1,329
2886981,Nice room close to beach,14754077,Paul,City of Capitola,36.97089254566483,-121.96138099094513,Private room,95,1,5,2014-08-18,0.30,3,362
2958258,Nice Condo close to beach,14754077,Paul,City of Capitola,36.97032513887619,-121.9615392057583,Entire home/apt,175,1,15,2015-06-12,0.89,3,361
2989767,Nice 2 bedroom blocks from beach!,14754077,Paul,City of Capitola,36.970186859037646,-121.95988436647103,Entire home/apt,275,1,49,2015-09-27,2.96,3,358
7716822,Beach Villa with Coworking Space,31920354,Liz,City of Capitola,36.95984846972154,-121.965776402497,Shared room,70,2,0,,,5,365
1538480,Charming Home in Heart of Capitola,8202897,Beth,City of Capitola,36.977431323616706,-121.96120328817639,Entire home/apt,600,2,16,2015-09-08,0.62,1,88
8114570,Pleasure Point Beach Sanctuary,810247,Kimberly,City of Capitola,36.95920264325955,-121.9777566822155,Private room,125,1,2,2015-09-21,1.43,1,280
3033398,Capitola condo near beach ,15451957,Bonnie,City of Capitola,36.97187863198652,-121.96248432655297,Entire home/apt,155,4,20,2015-09-17,1.28,1,349
4252106,Best View In Town! Capitola Condo.,22065775,Kelli,City of Capitola,36.97294059698222,-121.94969667187353,Entire home/apt,245,1,57,2015-09-26,4.70,1,353
2710745,Santa Cruz Simple - Queen,13873697,Dana,City of Capitola,36.97552659861969,-121.97147690796098,Private room,75,1,23,2015-10-01,3.40,4,274
5762935,Santa Cruz Simple - Single bed,13873697,Dana,City of Capitola,36.97497497646338,-121.97303379526556,Private room,65,1,29,2015-10-02,4.42,4,274
6646581,Santa Cruz Simple - Whole House,13873697,Dana,City of Capitola,36.97548676345209,-121.97193438753078,Entire home/apt,350,2,6,2015-10-04,1.70,4,275
1762159,Fantastic Pleasure Point Location!,2886424,Abigail,City of Capitola,36.95514385846634,-121.97304525918439,Entire home/apt,100,1,0,,,1,258
604281,Opal Cliff Beach House ,911803,Joyce,City of Capitola,36.96506802588104,-121.96339096202829,Entire home/apt,395,2,1,2014-06-21,0.06,1,331
8084113,Spacious Capitola Condo,42695858,Juliana,City of Capitola,36.97732039039132,-121.96078882076966,Entire home/apt,280,1,4,2015-10-11,3.33,1,54
1401967,Capitola Treasured Island Suite,6188518,Sheryl,City of Capitola,36.978968203234324,-121.94972394621276,Private room,85,1,35,2015-09-27,2.35,1,2
7936459,Beautiful Ocean View Home,41851633,Ashley,City of Capitola,36.97327117349398,-121.95171522422396,Entire home/apt,500,2,0,,,1,286
4663027,Capitola Apartment Near Everything,24128325,Jason & Anali,City of Capitola,36.97729226525038,-121.95832194499502,Entire home/apt,100,6,0,,,1,32
2159387,Christine's Cottage,11018734,Christine,City of Capitola,36.97338549768125,-121.97150014737277,Entire home/apt,109,1,111,2015-10-11,5.67,1,323
231750,Twin Palms B & B at Pleasure Point,1211802,Tara,City of Capitola,36.961026694015914,-121.98106330353514,Private room,119,2,130,2015-09-28,2.75,1,341
739515,Capitola Beach House  on River,3859873,Bridget,City of Capitola,36.973482539972956,-121.95316999764142,Entire home/apt,175,2,44,2015-10-05,1.39,1,299
649925,Secluded Studio in Pleasure Point ,3263060,Jewlia,City of Capitola,36.95956077915497,-121.97140221338938,Entire home/apt,195,3,33,2015-09-22,0.90,1,345
4455187,The Gray Whale Beach House,23047828,Kathleen,City of Capitola,36.97207770794419,-121.94929066051063,Entire home/apt,250,3,35,2015-10-13,3.07,1,310
6324562,"Stunning  2 bed, 2 bath in Capitola",15867956,Jody,City of Capitola,36.97406223489263,-121.95190265225469,Entire home/apt,395,1,3,2015-09-08,1.10,1,341
4936413,Clean Home | Amazing Hosts & Locale,21567557,Amy & Eli,City of Capitola,36.97297460857287,-121.97169328772591,Private room,85,1,38,2015-10-05,4.19,2,362
6467712,Beach Town Getaway,33786602,Bruce,City of Capitola,36.97181082735605,-121.96244300551638,Entire home/apt,140,2,0,,,1,119
3559652,Small garden studio by the beach,4579854,Leslie,City of Capitola,36.97945426722577,-121.95320530745641,Private room,87,1,119,2015-10-15,7.97,1,333
5309031,Beautiful Home in Pleasure Point,5238718,Daniela,City of Capitola,36.95795448994326,-121.97391265206626,Entire home/apt,225,2,23,2015-09-13,2.82,1,352
5371064,Beach side studio at Pleasure Point,17694511,Kristen,City of Capitola,36.95932443525963,-121.97590201635592,Entire home/apt,100,2,20,2015-10-13,2.80,1,335
5507482,Blocks from the Beach & Village!,27673598,Sam,City of Capitola,36.97569463195788,-121.95542404336514,Entire home/apt,200,1,12,2015-09-21,2.16,1,139
1360563,Enjoy Amber the RV: Rent or Deliver,7385604,Jamie,City of Capitola,36.95813366050108,-121.97852794280777,Entire home/apt,165,3,0,,,1,344
6625420,"Warm Bungalow, Steps to the Beach!",33475959,Jennifer,City of Capitola,36.954998442840285,-121.97645290351522,Entire home/apt,250,1,5,2015-10-04,2.11,1,358
6199468,Great House in Pleasure Point,32149853,Neill,City of Capitola,36.962116578063686,-121.96975251720396,Entire home/apt,650,5,1,2015-06-03,0.22,1,364
8407928,Room by the Sea,44291662,Lisa,City of Capitola,36.97442011211664,-121.95109455315404,Private room,95,1,0,,,1,365
1378370,Cozy camper with private patio,7466493,Dara,City of Capitola,36.97594587145413,-121.97214521542975,Entire home/apt,85,1,212,2015-10-05,7.78,1,351
7841913,"1Bd, Pool,Blocks to Beach & Village",41314388,Bianca,City of Capitola,36.971040231735905,-121.96041581308133,Private room,125,1,2,2015-09-07,0.94,1,340
4718829,Pleasure Point,4348078,Krisanne,City of Capitola,36.95824758478631,-121.96892537290098,Private room,250,1,0,,,1,287
8571711,Lovely beach home with Jacuzzi,9720386,Bertha,City of Capitola,36.957441218099596,-121.9704686767525,Entire home/apt,350,1,0,,,1,22
810394,Cute & Cozy Pleasure Point Cottage ,4261488,Hallie,City of Capitola,36.9595517979625,-121.97388451291268,Entire home/apt,200,3,22,2015-09-21,0.64,5,315
600136,"GREAT HM AND SPOT, OCT/NOV SPECIAL!",2968451,Livia,City of Capitola,36.96524841765685,-121.97009435778067,Entire home/apt,185,3,8,2015-07-19,0.24,1,318
690857,Kid-friendly Surfer's Paradise,3530542,Sonja,City of Capitola,36.960371313964544,-121.96698153961603,Entire home/apt,150,7,0,,,1,27
3765833,Capitola Oceanfront 2 Bedroom,19290771,Robert,City of Capitola,36.971481071789555,-121.95359805741037,Entire home/apt,499,1,21,2015-09-06,1.48,3,362
3882361,Capitola Village Oceanfront,19290771,Robert,City of Capitola,36.973253757058714,-121.95317813383552,Entire home/apt,599,1,28,2015-09-07,2.00,3,364
5705288,Capitola Oceanfront ,19290771,Robert,City of Capitola,36.97153334331309,-121.9520614426867,Entire home/apt,399,1,3,2015-09-27,2.65,3,365
5369496,Bohemian Beach House ,7613816,Julie,City of Capitola,36.973778399877155,-121.95647896100884,Entire home/apt,225,2,9,2015-10-04,1.17,1,332
6258060,Home Sweet Home,1194082,Aviva,City of Capitola,36.979921860248076,-121.96971630568903,Entire home/apt,190,3,5,2015-07-27,1.03,1,298
690397,Secluded Santa Cruz Beach Hideaway,238088,Dore,City of Capitola,36.95947144889472,-121.97019710681882,Entire home/apt,175,2,110,2015-10-04,3.13,1,312
5048831,Capitola Village Studio Unit C,24413952,Lindemann & Sloan,City of Capitola,36.97271080561108,-121.94990809705912,Entire home/apt,172,2,6,2015-10-04,1.35,8,352
6423559,Capitola Village Living!,24413952,Lindemann & Sloan,City of Capitola,36.97571628183429,-121.95364175657481,Entire home/apt,214,2,6,2015-09-13,1.71,8,349
6434246,Capitola Village Getaway!,24413952,Lindemann & Sloan,City of Capitola,36.974143483883296,-121.95354439474144,Entire home/apt,247,2,6,2015-09-13,1.51,8,350
5050189,The Mermaid House at Pleasure Point,24413952,Lindemann & Sloan,City of Capitola,36.95810457474162,-121.97138537576893,Entire home/apt,343,2,17,2015-09-27,2.14,8,338
604183,Serene Oceanfront Surf Retreat,2206201,Wendy,City of Capitola,36.973881526896875,-121.95229156355082,Private room,122,2,176,2015-10-05,4.49,1,31
6476975,3 bedroom in Santa Cruz/Capitola,31477803,Cora,City of Capitola,36.97952269659544,-121.97034741762306,Entire home/apt,168,7,0,,,1,124
