id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
241032,Stylish Queen Anne Apartment,956883,,Queen Anne,West Queen Anne,47.636289038357184,-122.37102519997765,Entire home/apt,85,1,207,2016-01-02,4.07,2,346
953595,Bright & Airy Queen Anne Apartment,5177328,Andrea,Queen Anne,West Queen Anne,47.63912312136253,-122.36566646439582,Entire home/apt,150,2,43,2015-12-29,1.48,6,291
3308979,New Modern House-Amazing water view,16708587,,Queen Anne,West Queen Anne,47.629724131577355,-122.3694831756176,Entire home/apt,975,4,20,2015-09-03,1.15,2,220
7421966,Queen Anne Chateau,9851441,,Queen Anne,West Queen Anne,47.638473201766416,-122.36927912263018,Entire home/apt,100,1,0,,,1,143
278830,Charming craftsman 3 bdm house,1452570,,Queen Anne,West Queen Anne,47.63291840276724,-122.37247063402224,Entire home/apt,450,1,38,2015-10-24,0.89,1,365
5956968,Private unit in a 1920s mansion,326758,Andrew,Queen Anne,West Queen Anne,47.63052548240193,-122.36617406518855,Private room,120,1,17,2015-09-28,2.45,1,302
1909058,Queen Anne Private Bed and Bath,2497928,Gary And Beth,Queen Anne,West Queen Anne,47.63660544532006,-122.36851905844937,Private room,80,3,58,2015-12-07,2.46,1,346
856550,Tiny Garden cabin on Queen Anne  ,4016632,Jean-Marc,Queen Anne,West Queen Anne,47.64016054121466,-122.37585597885769,Private room,60,2,173,2016-01-01,4.73,5,100
4948745,Urban Charm || Downtown || Views,2166277,Aliza,Queen Anne,West Queen Anne,47.63241029982899,-122.35721606914029,Private room,90,3,8,2015-08-17,1.22,1,341
2493658,Airy + Bright Queen Anne Apartment,5177328,Andrea,Queen Anne,West Queen Anne,47.63749172022628,-122.36688859092119,Entire home/apt,150,2,32,2015-12-20,1.55,6,324
175576,Private Apartment - Queen Anne Hill,239585,Ray & Eileen,Queen Anne,West Queen Anne,47.63548170841016,-122.35847776162176,Entire home/apt,95,3,181,2015-11-25,3.33,1,153
4454295,Upper Queen Anne Craftsman House,4606439,Nadia,Queen Anne,West Queen Anne,47.63721407513561,-122.3600457614146,Entire home/apt,99,3,8,2015-12-16,0.98,1,229
3883392,Open Plan 2bdr/1bath in Queen Anne,19932967,Pat & Roberta,Queen Anne,West Queen Anne,47.63554551151239,-122.37317075183506,Entire home/apt,245,3,13,2015-10-02,0.92,1,362
8889257,Elegance in Historic Queen Anne,25899989,Ellie,Queen Anne,West Queen Anne,47.62950680923431,-122.3676292967417,Entire home/apt,165,2,3,2016-01-02,3,1,337
5680462,Stunning 6 bd in THE BEST Location!,22372266,Sarah,Queen Anne,West Queen Anne,47.63920265551509,-122.36586274154311,Entire home/apt,461,3,18,2015-11-15,2.65,1,327
8988178,"Lovely Queen Anne Cottage, 2 BR",2983711,,Queen Anne,West Queen Anne,47.63564979343857,-122.37289282480928,Entire home/apt,109,3,1,2015-11-25,0.73,1,69
3245876,Park Life in Lower Queen Anne,9465817,Libby,Queen Anne,West Queen Anne,47.62620037381708,-122.36660192617585,Private room,66,1,84,2016-01-02,4.55,1,364
4933447,"Private Garden Suite, Bay View",25417834,Markus And Melissa,Queen Anne,West Queen Anne,47.64064587578452,-122.37240588895553,Private room,99,2,45,2015-11-06,4.58,1,171
7735464,Queen Anne Getaway Near Seattle!,6170760,Sam,Queen Anne,West Queen Anne,47.63977587341084,-122.37223535879997,Private room,200,1,0,,,1,125
6291829,Grand Craftsman Home on Queen Anne,32713558,,Queen Anne,West Queen Anne,47.63602477658138,-122.35869359564737,Entire home/apt,700,3,5,2015-08-10,0.82,1,359
9218403,Queen Anne View One Bedroom,14100483,Annie,Queen Anne,West Queen Anne,47.62794033813239,-122.36495872243863,Entire home/apt,110,1,1,2016-01-03,1,1,360
4125779,Cozy Queen Anne Finished Basement,21401856,Nick,Queen Anne,West Queen Anne,47.636374262238846,-122.36103343324052,Private room,99,1,11,2015-10-18,0.71,1,365
8942678,Lovely Queen Anne home,46675077,,Queen Anne,West Queen Anne,47.63563222417987,-122.35888090262146,Entire home/apt,450,4,1,2015-12-01,0.86,1,53
10106055,"Cozy Lower Level, Upper Queen Anne",51860756,Maggie & Alex,Queen Anne,West Queen Anne,47.63339395777785,-122.37191994372272,Private room,75,1,0,,,1,365
6362362,Charming home on Queen Anne,33147763,,Queen Anne,West Queen Anne,47.63851671212965,-122.36958103291498,Entire home/apt,600,3,1,2015-07-20,0.18,1,212
3544550,VIEW-Monthly Rental Available,16708587,,Queen Anne,West Queen Anne,47.63139734518299,-122.36776687067899,Entire home/apt,450,4,8,2015-09-02,1.30,2,293
9025039,Cute Bungalow-Close to Everything!,68155,,Queen Anne,West Queen Anne,47.63875224201261,-122.36797266885502,Entire home/apt,150,1,0,,,1,49
3200646,Micro Gypsy Wagon on Queen Anne,4016632,Jean-Marc,Queen Anne,West Queen Anne,47.63926602026095,-122.37472581108145,Private room,45,2,80,2016-01-02,4.38,5,107
8859380,STUNNING VIEW of Puget Sound,3792761,,Queen Anne,West Queen Anne,47.62990711611138,-122.36894813824877,Entire home/apt,300,2,6,2016-01-02,2.47,1,356
4520099,Open Airy Queen Anne Condo,6184895,Lana,Queen Anne,West Queen Anne,47.63981586823574,-122.37433846349177,Entire home/apt,80,2,4,2015-07-25,0.33,1,305
2481869,Airy + Bright Queen Anne Cottage,5177328,Andrea,Queen Anne,West Queen Anne,47.63900777818944,-122.36532007300231,Entire home/apt,175,2,38,2015-10-11,1.86,6,323
1110749,Queen Anne 3 bed near everything,5325329,Blair,Queen Anne,West Queen Anne,47.63508504491007,-122.36444347330422,Entire home/apt,325,2,68,2015-12-21,2.18,8,162
5978498,1914 Stunner View Ocean Mountain,31037494,,Queen Anne,West Queen Anne,47.640633234573535,-122.37270939338376,Entire home/apt,175,4,8,2015-12-03,1.31,1,213
5021081,Seattle Queen Anne Beauty,25906186,Vacation,Queen Anne,West Queen Anne,47.638121486971116,-122.37578997278469,Entire home/apt,222,2,5,2015-11-12,0.99,1,2
1686930,The Hideaway- Queen Anne/downtown,8916363,,Queen Anne,West Queen Anne,47.62981553345287,-122.36621233485974,Entire home/apt,159,1,62,2015-12-07,2.27,1,309
7680289,QUEEN ANNE VIEW ONE! - SEATTLE,40335071,Kevin,Queen Anne,West Queen Anne,47.639810187873806,-122.37380062876858,Entire home/apt,125,2,19,2015-11-29,4.35,2,353
7207641,"URBAN SANCTUARY, 3BR, QUEEN ANNE",6544973,,Queen Anne,West Queen Anne,47.63556952470362,-122.36165259464241,Entire home/apt,348,3,5,2015-09-03,0.97,1,153
5062445,Cozy Homebase Close to Downtown,21072725,Chris,Queen Anne,West Queen Anne,47.63497873047923,-122.35886941246473,Private room,45,1,7,2015-12-08,0.90,1,363
8925878,VIEW QUEEN ANNE! - VINTAGE SEATTLE,40335071,Kevin,Queen Anne,West Queen Anne,47.63936210298089,-122.37240255654483,Entire home/apt,150,2,2,2015-12-18,0.83,2,351
6389657,Cute little Seattle Studio!,2052160,Ruth,Queen Anne,West Queen Anne,47.6346162843086,-122.3580227325536,Entire home/apt,80,3,11,2015-08-19,1.98,1,201
4218733,Walker's Dream on Queen Anne Hill,21896205,Henry,Queen Anne,West Queen Anne,47.63800137747846,-122.36100481691408,Entire home/apt,110,2,71,2016-01-01,4.70,1,351
2715623,"DARLING VINTAGE COTTAGE, QUEEN ANNE",8242272,,Queen Anne,West Queen Anne,47.63199585097701,-122.3716576650487,Entire home/apt,148,3,9,2015-10-29,0.46,1,310
1392332,Modern Eco-Friendly View Retreat,2315558,,Queen Anne,West Queen Anne,47.63868624334983,-122.37079986877468,Entire home/apt,350,2,41,2015-07-31,1.38,1,308
7308567,Beautiful 1 Bedrm in Queen Anne,17597607,Nicole,Queen Anne,West Queen Anne,47.633650043720536,-122.36044969320191,Entire home/apt,150,2,18,2015-12-31,3.35,1,339
6575380,One bedroom with Lounge,34392395,Sam,Queen Anne,West Queen Anne,47.63430017546052,-122.35705980444612,Private room,150,1,9,2015-09-20,1.99,1,285
6004058,LOWER QUEEN ANNE STUDIO W/PATIO,9031463,,Queen Anne,West Queen Anne,47.628343869748115,-122.36640542137962,Entire home/apt,100,1,20,2016-01-02,2.29,1,87
9550869,Queen Anne Craftsman,12867960,,Queen Anne,West Queen Anne,47.63539394059413,-122.36899114110727,Entire home/apt,349,1,0,,,1,354
8515408,Queen Anne Hill Craftsman studio,3502513,Jennifer,Queen Anne,West Queen Anne,47.63803515893716,-122.36091010563622,Entire home/apt,110,2,3,2015-12-31,1.06,1,89
5383192,Craftsman House Near Everything,27606550,,Queen Anne,West Queen Anne,47.63933158548954,-122.36159942269484,Entire home/apt,160,2,1,2015-06-29,0.16,1,295
1112092,Seattle Backyard Cottage-Queen Anne,5856339,,Queen Anne,West Queen Anne,47.635308051455425,-122.36653170901198,Entire home/apt,130,3,26,2015-12-29,0.80,1,89
7772661,:: Carriage House :: Queen Anne ::,40885963,Michael,Queen Anne,West Queen Anne,47.637374884138524,-122.36941092468905,Entire home/apt,99,1,2,2015-12-21,2,1,142
9254900,STUDIO APARTMENT WITH A VIEW,27128936,,Queen Anne,West Queen Anne,47.63829756707327,-122.37377871072084,Entire home/apt,100,1,0,,,1,29
7714294,Top Floor Apt. W/ Spectacular View!,3521823,Elise,Queen Anne,West Queen Anne,47.63175343884966,-122.37127173011557,Entire home/apt,137,2,3,2015-09-03,0.64,2,303
