id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
813853,Perfect Position on Queen Street,1460480,Karren,,Woollahra,-33.889374432863576,151.2385936540395,Entire home/apt,170,7,21,2015-12-19,0.64,1,338
6616939,Rose bay on your doorstep 1bed apt,34631371,Jo,,Woollahra,-33.86854154402838,151.26956091709476,Entire home/apt,137,3,0,,,1,191
9649399,Spacious apartment w/ balcony,49888015,Jared,,Woollahra,-33.87706184439421,151.2317858332164,Entire home/apt,95,10,0,,,1,3
9922648,Oversized Darling Point apartment,51008968,Elliot,,Woollahra,-33.87616011239022,151.23816629742112,Entire home/apt,200,1,0,,,1,12
849324,▼Charming Quiet Deco Apmt Rose Bay▼,341113,Teale,,Woollahra,-33.87451617952752,151.26361131807138,Entire home/apt,165,3,0,,,2,0
9626279,"Beautiful, Spacious Holiday Spot!",49792569,Chloe,,Woollahra,-33.879251381013106,151.24280911965124,Entire home/apt,176,5,0,,,1,56
9669563,Top Floor 2 Bedroom with Views,21761559,Josh,,Woollahra,-33.88831056243007,151.24167128724582,Entire home/apt,160,2,0,,,1,11
10252660,Executive Penthouse Living,2450066,Yourhome,,Woollahra,-33.88368072689138,151.2236663509934,Entire home/apt,373,7,0,,,2,274
8942973,SYDNEY CBD HOME FREE WIFI + LAUNDRY,28329168,Tyson & Jana,,Woollahra,-33.884334525915534,151.22506645860497,Entire home/apt,149,1,5,2016-01-01,2.54,1,317
6941217,2 Bedroom Paddington Terrace,29595080,Amelia,,Woollahra,-33.887281316589004,151.23378732994388,Entire home/apt,250,2,4,2015-11-22,0.81,1,169
10023360,Gorgeous 3 bdr apartment near Bondi,13427246,Bridget,,Woollahra,-33.88309258409733,151.26267339031168,Entire home/apt,300,1,0,,,1,5
2785289,Sunny bijou apartment in Paddington,10413823,Leona,,Woollahra,-33.88311809008895,151.2320593220288,Entire home/apt,110,4,1,2016-01-01,1,1,9
10284816,Modern and comfortable 1 bedroom,21197644,Daniel,,Woollahra,-33.884029227664236,151.22805334594483,Entire home/apt,180,3,0,,,1,17
8890741,House Bondi Junction,5580608,Dave,,Woollahra,-33.890012225099646,151.25382923924371,Entire home/apt,300,10,0,,,1,365
8035930,"Stylish apartment, Great location",2322429,Remy,,Woollahra,-33.88481507950545,151.25610322329948,Entire home/apt,140,2,5,2015-12-28,5,1,132
2068981,Bondi Beach Modern Art Deco,2756287,Courtney,,Woollahra,-33.88787714919027,151.26311845155632,Entire home/apt,176,2,10,2015-04-07,0.44,1,245
5007349,4 bed home woollahra April/May,433633,Ruth,,Woollahra,-33.88662287644757,151.24541407578062,Entire home/apt,400,14,0,,,4,358
8692932,"Great location, two bedroom unit.",20341835,Kate,,Woollahra,-33.87705072933376,151.23086766180825,Private room,70,7,1,2015-12-07,1,1,364
8846648,Room in Double Bay near CBD & beach,25246337,William,,Woollahra,-33.87819585644997,151.23911754868257,Private room,64,3,4,2015-12-10,1.69,1,63
6011829,Amazing views of Sydney Harbour!,31207830,Marcelo,,Woollahra,-33.86951982414216,151.237023164007,Private room,91,2,0,,,1,238
9830330,Room in Paddington Terrace,50629198,James,,Woollahra,-33.88306016232959,151.22157599776898,Private room,80,5,0,,,1,258
10179402,Private ground floor of apartment,20241204,Veronika,,Woollahra,-33.87964959231029,151.23174399003653,Private room,280,2,0,,,1,329
4780572,"Bedroom w/ en-suite bath, near city",3183472,Kerstin,,Woollahra,-33.879255618703695,151.2247913552224,Private room,95,3,0,,,1,90
9998266,Delightful room close to harbour,46260307,Lucinda,,Woollahra,-33.881844825258376,151.2280099074832,Private room,75,1,1,2015-12-19,1,1,351
9739931,Sun filled double room with ensuite,27382160,Brigit,,Woollahra,-33.848877387585965,151.28432474532025,Private room,200,2,0,,,1,30
9598227,Master room in Paddington terrace,14304927,Anna,,Woollahra,-33.883864188166555,151.23061745716458,Private room,100,2,0,,,1,349
9451693,JAN in Sydney Double Bay,48977136,Emma,,Woollahra,-33.877611203856915,151.24172332582665,Private room,70,5,0,,,1,29
8742743,Beautiful Room in Bellevue Hill,45515074,Lily,,Woollahra,-33.880334918930856,151.24852287144915,Private room,81,7,0,,,1,63
8942380,Bruce and Louise Kaye,45785391,Bruce And Louise,,Woollahra,-33.847905015096565,151.2823875300008,Private room,121,2,0,,,1,83
9482514,Sydney Leafy Living,9378163,Rebecca,,Woollahra,-33.887725028958734,151.23943072548278,Private room,95,1,1,2015-12-01,0.88,2,343
10023821,Sensational Sydney Harbour Views,741911,James,,Woollahra,-33.87146102690645,151.2373879608175,Entire home/apt,300,5,0,,,1,2
10075469,"Huge sunny apt, perfect for NYE",8402768,Stephanie,,Woollahra,-33.86920473867015,151.2394845311014,Entire home/apt,250,2,0,,,2,1
9839703,Double Bay Art Deco Apartment,26091809,Joanne,,Woollahra,-33.87793732576336,151.23805489050187,Entire home/apt,200,2,2,2016-01-02,2,1,3
6578124,Beautiful Apartment with Courtyard,34411542,Christopher,,Woollahra,-33.879086543739525,151.23711173303937,Entire home/apt,219,3,0,,,1,194
1996287,1 bedroom w/pool - 10 min to city,10202317,Antoine,,Woollahra,-33.875331241899225,151.23992041982848,Entire home/apt,119,3,7,2015-10-26,0.33,1,191
9203333,Stunning Waterfront Location,14655473,Airlie,,Woollahra,-33.869910474986376,151.23975501373315,Entire home/apt,219,2,2,2015-12-19,1.76,1,341
2172412,Central mod apt sleeps 4 & parking,9492803,Lauren,,Woollahra,-33.87715331710965,151.2323163783497,Entire home/apt,170,1,51,2015-12-30,2.16,1,341
10234151,Darling Point Delight,2450066,Yourhome,,Woollahra,-33.87332523987533,151.23757837425342,Entire home/apt,321,5,0,,,2,333
9495873,Lovely apartment near the park,690235,Luca,,Woollahra,-33.87713854072787,151.23192621371942,Entire home/apt,160,4,0,,,1,23
6066662,Double Bay beach chic,11111446,Milly,,Woollahra,-33.874370731793135,151.23956594115887,Entire home/apt,450,2,6,2015-12-07,0.86,1,26
255090,Your Own Private Studio Apartment ,1340540,Tommy,,Woollahra,-33.876033014423456,151.2341296466889,Entire home/apt,106,7,12,2015-07-26,0.25,1,240
5355249,Harbourside Darling Point Apartment,27760219,Jack,,Woollahra,-33.87161607054113,151.23901709061306,Entire home/apt,176,2,5,2015-04-14,0.47,1,362
9696407,Top floor Aprt in Great Location,3862317,Sondrya,,Woollahra,-33.88149383846031,151.2241373914427,Entire home/apt,121,21,0,,,1,350
9565324,Cute and cosy Paddington Apartment,20965517,Stephanie,,Woollahra,-33.88188475447531,151.23017409800724,Entire home/apt,140,5,2,2015-12-23,1.67,1,50
6348271,Weekly Serviced Luxury 2bd 2.5 bath,33068667,Mack,,Woollahra,-33.88101974256166,151.23249951950717,Entire home/apt,550,2,9,2015-09-07,1.29,1,148
9930524,The Quiet Old-School Cave in Paddo,7471230,Bertrand,,Woollahra,-33.88258362847802,151.22344420083388,Entire home/apt,170,1,0,,,1,4
7465485,Charming Apartment Paddington,12229561,Claire,,Woollahra,-33.882008612688665,151.22740809478373,Entire home/apt,160,7,1,2015-10-05,0.33,1,122
9697449,Spacious 2 bedroom apartment,30665398,Lachie,,Woollahra,-33.87359822217463,151.25967830974244,Entire home/apt,350,1,0,,,1,9
9101358,Lovely Art Deco apartment,23402096,Suzie,,Woollahra,-33.87306064731718,151.24667988866173,Entire home/apt,191,3,0,,,1,41
3795958,*Stylish Paddington Pad + Parking!*,6248691,Lorraine,,Woollahra,-33.88221781768811,151.22722463174293,Entire home/apt,130,1,62,2015-12-20,4.15,1,283
3768209,"Rose Bay apartment, close to ferry",9100147,Eva,,Woollahra,-33.87454191539851,151.25916322111814,Entire home/apt,100,7,3,2015-12-06,0.19,1,0
9959154,Cozy and lovely  well located flat,9112620,Frank,,Woollahra,-33.87437187465789,151.24586997953648,Entire home/apt,134,14,0,,,1,1
9978885,Paddington View,2450066,Yourhome,,Woollahra,-33.88150087886466,151.2268006880513,Entire home/apt,270,10,0,,,2,358
8360650,Your own apartment in Paddington,1115118,Sara,,Woollahra,-33.88154831905422,151.2232825415264,Entire home/apt,376,6,0,,,1,96
4511951,Understatedly chic abode in Darlo,5490297,Ilana,,Woollahra,-33.87895375045696,151.22697483072525,Entire home/apt,176,3,10,2015-12-15,0.82,1,27
6940556,"Central, bright, true Sydney style!",36393567,Serena And Till,,Woollahra,-33.88178399632183,151.22166185459034,Entire home/apt,110,2,1,2015-07-28,0.19,1,161
9945084,Perfect Sydney Summer Home,2438512,Jeremy,,Woollahra,-33.88520106608782,151.23916145603985,Entire home/apt,400,1,0,,,3,28
