id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6922238,Home near York University,12571995,Sam,,York University Heights,43.754282081754525,-79.50053330182531,Entire home/apt,109,3,5,2015-10-13,0.43,1,0
9648319,"Garden B.R.-double bed, ground fl.",12738823,David,,York University Heights,43.75207602223993,-79.49336377120721,Private room,33,2,12,2016-06-16,2.16,2,58
13299695,Room,75099436,Patricia,,York University Heights,43.763662127441435,-79.49930950298179,Private room,50,1,0,,,1,89
13101497,Rooms on University Campus Close to Everything!,69574868,Wayne,,York University Heights,43.76430810949213,-79.4991279484585,Private room,22,1,1,2016-06-04,0.91,4,358
13007164,Private Suite york,44098156,Jay,,York University Heights,43.7681843610851,-79.5012347488533,Private room,45,1,1,2016-06-01,0.83,4,88
6181226,"Bright BR@ York University, Toronto",30753730,Jeishan,,York University Heights,43.76726900576346,-79.50090873136062,Private room,39,2,10,2016-06-10,0.70,9,281
5923285,"Snug BR @ York University, Toronto",30753730,Jeishan,,York University Heights,43.768397326811154,-79.50080737491095,Private room,39,2,9,2015-08-23,0.61,9,185
7906581,Bright condo by subway and major highways,41534184,Anu,,York University Heights,43.75099046086583,-79.46603696621504,Entire home/apt,100,2,3,2016-06-23,3,1,41
4710792,House - for learners and dreamers,24345657,Arkadi,,York University Heights,43.765970271963596,-79.50258553653921,Private room,80,1,0,,,1,365
12971278,Rooms @ York U Campus -30min from Dwntown,69574868,Wayne,,York University Heights,43.76420051296522,-79.4996242301147,Private room,21,1,7,2016-06-19,3.82,4,334
12490041,约克大学house套房出租a room near YorkU rent,67620294,Donna,,York University Heights,43.76613853629716,-79.4988121274885,Private room,24,1,0,,,1,362
12980628,Private room beside york university,44098156,Jay,,York University Heights,43.76628320803627,-79.49942502893285,Private room,49,1,5,2016-06-26,2.94,4,277
12916702,Lovely Room for Solo Adventurer,51076793,Gary,,York University Heights,43.76649641294664,-79.49728809445139,Private room,35,1,5,2016-06-13,2.83,2,324
6625373,(1) Cozy & Comfortable w/ En-suite Bath,24346665,Seiko,,York University Heights,43.769615268813766,-79.5011769394673,Private room,55,2,29,2016-06-27,2.30,8,346
8238735,Small BR+ EnSuite @ York University,30753730,Jeishan,,York University Heights,43.76878293746535,-79.50208009010841,Private room,39,2,7,2016-05-31,0.78,9,238
12836532,Nice Private Room in north york.,44098156,Jay,,York University Heights,43.76803924174777,-79.50126847759728,Private room,39,1,4,2016-05-25,2.26,4,363
13449697,Art Galleria Abode,76797382,Jaime,,York University Heights,43.76574803914951,-79.50635996423948,Private room,50,2,0,,,1,90
9937736,Lovely Room for 3 People,51076793,Gary,,York University Heights,43.76733455576943,-79.4960792331865,Private room,35,1,25,2016-06-21,3.85,2,343
6831764,(3) Cozy Room near York University Toronto,24346665,Seiko,,York University Heights,43.76873811567582,-79.49713236964814,Private room,39,2,3,2016-04-18,0.28,8,337
6831843,(6) Comfy Room near York University Toronto,24346665,Seiko,,York University Heights,43.7694290689735,-79.5005217832784,Private room,39,2,2,2016-03-20,0.25,8,276
12887001,York U Campus Rooms - 30min Downtwn,69574868,Wayne,,York University Heights,43.764117311200565,-79.4994014447777,Private room,21,1,3,2016-06-21,1.70,4,319
6832028,(4) Cozy Room near York University Toronto,24346665,Seiko,,York University Heights,43.76906851278992,-79.49913881836751,Private room,39,2,3,2015-12-11,0.27,8,325
6628476,Bdrm in shared condo near YorkU (M),33212966,Lisa,,York University Heights,43.76550740305055,-79.49439663478948,Private room,39,1,1,2015-06-28,0.08,2,215
6373500,1 bedroom in shared condo near York University,33212966,Lisa,,York University Heights,43.76173922506413,-79.49524401838852,Entire home/apt,64,1,10,2016-05-25,0.76,2,226
13018778,Cozy private room and bathroom,30506576,Rodrigo,,York University Heights,43.74334000546468,-79.49375415500842,Private room,42,2,0,,,1,63
13838081,1 Bedroom - Toronto,32788806,Oskar,,York University Heights,43.75050942038695,-79.46350106100176,Private room,40,1,0,,,1,81
13840023,Huge room by university,79038968,Krystal,,York University Heights,43.76672402771245,-79.50305672925454,Private room,35,1,0,,,1,363
9842943,Cozy and convenient - with parking!,50683042,Margaret,,York University Heights,43.75032736719407,-79.46490840651518,Entire home/apt,70,3,1,2015-12-27,0.16,1,0
9052835,Furnished Apartment Toronto,47232657,S M Fawaad,,York University Heights,43.76555816688828,-79.50430042902904,Entire home/apt,45,1,0,,,1,0
8540336,Pied a Terre Downsview  Subway Line,2428786,Jesse,,York University Heights,43.75188391089061,-79.46438070416241,Entire home/apt,88,1,2,2016-07-03,0.42,1,356
6017439,"Sunny BR @ York University, Toronto",30753730,Jeishan,,York University Heights,43.768550469190004,-79.50275315057223,Private room,39,2,12,2016-05-02,0.93,9,204
1651605,Evelyn's Homestay,8759833,Evelyn,,York University Heights,43.75584741943883,-79.49061063705818,Private room,40,30,0,,,1,365
11515007,North York Penthouse,38620549,Roman,,York University Heights,43.75119206255632,-79.46467997148831,Entire home/apt,79,180,3,2016-05-31,1.17,1,360
10551021,2-ком. бейсмент в доме-триплексе,52718158,Виктор,,York University Heights,43.762959870470965,-79.46570133973363,Entire home/apt,90,1,1,2016-02-11,0.20,4,363
8238835,Cozy BR + EnSuite @ York University,30753730,Jeishan,,York University Heights,43.76873969369485,-79.50225350507178,Private room,39,2,11,2016-04-28,1.11,9,307
13844930,Walking distance to York University,34323315,Krystalynn,,York University Heights,43.766539644781034,-79.50301861987936,Private room,77,1,0,,,1,362
6830631,(2) Cozy Room near York University Toronto,24346665,Seiko,,York University Heights,43.768043723875714,-79.50013465266596,Private room,39,2,2,2016-07-02,0.63,8,355
10565665,Upper Bedroom (see also 9648319),12738823,David,,York University Heights,43.752789074063394,-79.49208916512423,Private room,33,1,6,2016-05-23,1.26,2,59
13813697,"Spacious condo, beautiful view, steps to YorkU",12846807,Victoria,,York University Heights,43.761049803025905,-79.4997484119167,Entire home/apt,129,2,0,,,1,307
5922059,"Cozy BR @ York University, Toronto",30753730,Jeishan,,York University Heights,43.767631525202354,-79.5023851109016,Private room,39,2,11,2015-11-01,0.75,9,6
11870189,2 Bedroom Spacious Apartment,63283746,Samina,,York University Heights,43.763918878623755,-79.506243604932,Entire home/apt,45,10,0,,,1,32
9132704,Living Room in apartment North York,47567573,Chelson,,York University Heights,43.7620565539662,-79.4998673471988,Private room,30,1,2,2016-01-31,0.35,1,0
10755448,Sweet Room Like at Home,45436801,Wendy,,York University Heights,43.76626999793448,-79.49117974195921,Private room,30,1,9,2016-07-02,1.68,1,293
9280811,Vibrant Suite-Great View and Access,12066449,C.J.,,York University Heights,43.75065148495001,-79.46507925708143,Entire home/apt,97,1,14,2016-06-20,1.77,3,2
10719537,"Comfy BR @ York University, Toronto",30753730,Jeishan,,York University Heights,43.7679912844214,-79.50215685519633,Private room,39,2,3,2016-03-29,0.66,9,65
12783903,5BD Home 30min Dwntwn-York U Campus,69574868,Wayne,,York University Heights,43.76470147633158,-79.49949587995224,Entire home/apt,200,1,4,2016-06-06,1.97,4,320
8521909,Snug BR + EnSuite @ York University,30753730,Jeishan,,York University Heights,43.768775539130225,-79.50211348788625,Private room,39,2,1,2016-01-05,0.16,9,154
12835675,Private Suite york,44098156,Jay,,York University Heights,43.76680230775017,-79.49934994556529,Private room,50,1,3,2016-06-27,1.88,4,44
12027302,Elegant house room,19657311,Gloria Geum Lee,,York University Heights,43.768741436127875,-79.49703031044747,Private room,61,1,2,2016-05-28,1.25,2,358
