id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4906642,"""Appartamento Taramelli""",21846807,Giovanni,,"Trento, Trentino",46.06070508353902,11.117911334592199,Entire home/apt,60,1,2,2015-09-12,0.28,2,262
2885710,Comfortable Apartment in Trento,14747804,Andrea,,"Trento, Trentino",46.07767450796188,11.117267144400437,Entire home/apt,75,3,4,2014-08-24,0.25,1,252
5633570,APPARTAMENTO VIA GHIAIE,16732994,Apartaments,,"Trento, Trentino",46.056650998131516,11.115530382566154,Entire home/apt,35,1,5,2015-10-05,2.24,4,363
4568603,New apartments in Trento,6315576,Paolo,,"Trento, Trentino",46.059508182155206,11.114696426701158,Entire home/apt,99,1,2,2015-01-07,0.20,9,365
4497368,Appartamento Porta al Duomo ,23327698,Annalisa,,"Trento, Trentino",46.067575439576274,11.118644706744664,Entire home/apt,70,2,14,2015-09-28,1.35,1,260
5234474,In the hearth of downtown Trento,27090222,Dolores,,"Trento, Trentino",46.069852253816904,11.125833892755615,Entire home/apt,45,2,23,2015-09-25,3.04,1,308
8822531,Monolocale in palazzo storico,46210117,Luca,,"Trento, Trentino",46.04873209043206,11.144436315369441,Entire home/apt,98,1,0,,,2,180
8666291,Room in the city center,45528089,Angela,,"Trento, Trentino",46.06658527704772,11.120072213836472,Private room,50,1,0,,,1,167
7234528,The b & b building Malfatti,16120376,Stefano,,"Trento, Trentino",46.06763853834375,11.120447149531348,Private room,65,1,2,2015-08-22,0.90,4,364
6026573,"B&B Al Nettuno, CentroStoricoTrento",31279793,Paolo,,"Trento, Trentino",46.074060917679546,11.123163034815152,Private room,45,1,0,,,1,364
6345874,B&B al Capitello loc.Cadine-Trento,33051591,Alfonso,,"Trento, Trentino",46.087034752689576,11.062064496822991,Private room,50,1,0,,,2,362
8515515,Appartamento Arcobaleno e giardino,44830588,Lorenza,,"Trento, Trentino",46.12479208693366,11.114946547856857,Entire home/apt,150,2,0,,,2,181
7122822,Triple room just 3km from Trento,37310363,Ettore,,"Trento, Trentino",46.08962008368114,11.139035667406338,Private room,90,1,1,2015-09-04,0.77,3,365
8768931,Stanza privata con balcone,28334305,Denise,,"Trento, Trentino",46.07644298002918,11.119303812606198,Private room,26,1,0,,,1,352
1494413,Attic with private bathroom,7858541,Elena,,"Trento, Trentino",46.08643019853309,11.131543521091622,Private room,48,1,44,2015-10-03,1.76,1,359
6148610,BatCave-Trento Muse Garda Dolomiti,31896087,Roberto,,"Trento, Trentino",46.06797124670395,11.133370964465431,Entire home/apt,100,2,6,2015-09-22,1.11,1,148
8096755,Holiday Apartment,42755468,Irma,,"Trento, Trentino",46.08780314380315,11.116435768623695,Entire home/apt,65,2,0,,,1,319
6220674,The b & b building Malfatti,16120376,Stefano,,"Trento, Trentino",46.06903909508641,11.12038387279528,Private room,100,1,2,2015-07-01,0.52,4,365
4098930,Double room in large apartment,6821775,Chiara,,"Trento, Trentino",46.07596963719181,11.129652172600592,Private room,60,3,1,2014-12-09,0.10,3,365
5292512,B&B Le Tre Gemme con tre stanze ,27409147,Manuela,,"Trento, Trentino",46.039266682682445,11.130493563662126,Entire home/apt,65,1,15,2015-09-27,1.94,2,354
5968572,Guest card gratuita,6315576,Paolo,,"Trento, Trentino",46.06147225985441,11.114340612610965,Entire home/apt,135,1,2,2015-09-09,0.35,9,365
1911456,A trentattre passi da Trento...,9276582,Marco,,"Trento, Trentino",46.121948086529144,11.096042726877297,Entire home/apt,65,2,18,2014-12-27,0.79,1,283
6220439,Il b&b nel centro di Trento,16120376,Stefano,,"Trento, Trentino",46.06918471768367,11.121238634934448,Private room,135,1,0,,,4,365
6089363,The 17thCentury Art Studio Suite,19176735,Marianna,,"Trento, Trentino",46.010964461037865,11.139349157350708,Private room,80,1,18,2015-08-29,3.31,3,365
7974229,Appartamento con  vista sul duomo,34634216,Mario,,"Trento, Trentino",46.066197627346355,11.122613603029507,Entire home/apt,195,4,0,,,1,365
8400199,MATRIMONIALE A 10min DAI MERCATINI,15209730,Mo,,"Trento, Trentino",46.07303783045388,11.128386284065147,Private room,40,1,3,2015-10-03,3,1,355
