id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3200293,Incredible view - Kitsilano/Dunbar,6404004,Serena,,Dunbar Southlands,49.2568776194657,-123.17999258962679,Entire home/apt,146,2,2,2015-09-21,0.40,1,49
781153,The Secret Garden in Vancouver BC,4120058,Noo-Noo,,Dunbar Southlands,49.24555375570752,-123.18222563005021,Entire home/apt,125,3,3,2015-10-05,0.10,1,254
1301845,Private Garden Suite ,7078248,Paula,,Dunbar Southlands,49.24573041610908,-123.18942730190614,Entire home/apt,105,3,7,2015-02-09,0.24,1,88
7362173,West Side Vancouver Entire Home,38573316,Joan,,Dunbar Southlands,49.24597402576965,-123.17528452425806,Entire home/apt,575,3,1,2015-08-16,0.27,1,199
1349965,Beautiful 1 BR Dunbar Apt,7324823,Mike And Kate,,Dunbar Southlands,49.240781427115536,-123.18380265016089,Entire home/apt,109,3,37,2015-09-29,1.29,2,365
5533328,Sun-flooded 3 bedroom home ,19051100,Kurt,,Dunbar Southlands,49.25218116888966,-123.1737952768427,Entire home/apt,129,25,0,,,1,249
1281306,Retreat in the City,6336753,Susan,,Dunbar Southlands,49.227596051181315,-123.1899542490126,Entire home/apt,226,3,4,2015-10-08,0.14,1,74
8321518,Basement suite/flexible pricing!,21704315,Thomas,,Dunbar Southlands,49.2333030911553,-123.1802113332723,Entire home/apt,80,1,1,2015-09-21,0.41,1,356
6390287,Artist retreat,2001148,Barbara,,Dunbar Southlands,49.24166865417062,-123.17028290449255,Private room,76,2,2,2015-10-20,0.48,3,364
4916307,Private Modern Dunbar Suite,702188,Ramona,,Dunbar Southlands,49.25436096676551,-123.1881801277521,Entire home/apt,138,3,15,2015-09-04,1.72,1,215
8783019,Near UBC. Quiet Street. Family home,46037158,Lidia,,Dunbar Southlands,49.24256996857084,-123.17746282661756,Private room,49,1,0,,,1,365
951782,West King Edward Suite,5164882,Dagmar & Angelo,,Dunbar Southlands,49.25112912420879,-123.18385898829901,Private room,69,2,9,2015-09-08,0.42,1,235
2672380,Amazing neighbourhood!,13682119,Stephanie,,Dunbar Southlands,49.2497971305481,-123.18913295599008,Entire home/apt,226,7,5,2015-09-01,0.31,1,343
2570965,*Total Privacy+Separate Entry*,19916,Cathy And Tom,,Dunbar Southlands,49.23900277823019,-123.18095872064356,Private room,69,2,106,2015-11-29,5.51,2,190
8650746,Beautiful house near UBC,9214271,Claudine,,Dunbar Southlands,49.23616648863458,-123.17896418743712,Entire home/apt,150,1,7,2015-12-01,3.50,4,298
3522508,Charming basement suite - near UBC,3527628,John & Erin,,Dunbar Southlands,49.23201074594435,-123.20810016928516,Entire home/apt,69,2,56,2015-11-29,3.37,1,358
5659689,Beautifully renovated 2-3 bed home,29335268,Elizabeth,,Dunbar Southlands,49.23119503607223,-123.1866429354548,Entire home/apt,300,7,3,2015-08-23,0.61,1,120
2326265,3bdr in Dunbar Village with a View,11883405,Miss,,Dunbar Southlands,49.242385007457166,-123.18399122221231,Entire home/apt,160,7,0,,,5,59
6897283,Collingwood Cottage near Dunbar,36141263,Ashley,,Dunbar Southlands,49.25596275487707,-123.18075259681135,Private room,180,2,9,2015-10-08,1.71,2,365
2326272,Cozy 2b garden suite Dunbar Village,11883405,Miss,,Dunbar Southlands,49.24281384233605,-123.1843730898162,Entire home/apt,146,2,1,2015-11-18,1,5,306
8535966,New 1 Bedroom/Studio Apartment,6542094,Lindsey,,Dunbar Southlands,49.2346761541935,-123.18669254038579,Entire home/apt,150,1,0,,,1,56
5709491,Shaunessy golf course views by UBC ,29603052,Lynda And Bill,,Dunbar Southlands,49.23282700679092,-123.19595609182076,Private room,89,1,24,2015-11-27,4.07,2,358
3534949,Stay in beautiful Pt Grey Vancouver,7465731,,,Dunbar Southlands,49.25779042842083,-123.20017756334752,Private room,80,2,10,2015-11-23,0.63,1,365
5806702,Large Sunny bedroom,13647506,Don & Trenna,,Dunbar Southlands,49.23511641397406,-123.18086375596536,Private room,100,1,0,,,3,215
3422597,Lux Vancouver Lanehouse Near UBC,5422969,Julie,,Dunbar Southlands,49.25517354285701,-123.18549304208955,Entire home/apt,220,3,24,2015-06-29,1.39,2,16
7395682,Family Friendly Great Neighbourhood,38655301,Craig,,Dunbar Southlands,49.23824747761217,-123.17950277489513,Entire home/apt,300,3,3,2015-08-20,0.78,1,330
8739108,very quiet room in beautiful house,9214271,Claudine,,Dunbar Southlands,49.236945900481714,-123.17919533718566,Private room,65,1,1,2015-11-02,0.94,4,298
9350938,Cozy Private Bedroom W/ Single Bed,44968931,Sarah,,Dunbar Southlands,49.250803666215106,-123.18007565125674,Private room,44,1,0,,,1,341
6368952,UBC Christian community house,33187799,UBC Christian Community House,,Dunbar Southlands,49.24214502058012,-123.19305161019572,Private room,49,2,1,2015-07-24,0.23,4,210
5297527,Cozy Cottage and private patio,13700291,Terry,,Dunbar Southlands,49.23401747540929,-123.18378124218695,Entire home/apt,150,3,9,2015-09-09,1.04,1,341
6870806,Pacific Spirit Park House,35654146,Kimberly,,Dunbar Southlands,49.23798223856652,-123.19524898460293,Entire home/apt,700,3,3,2015-08-09,0.60,1,162
8170965,One bedroom suite with full kitchen,9536705,Philippa,,Dunbar Southlands,49.250618799018454,-123.1717541066479,Entire home/apt,99,3,2,2015-11-01,0.73,1,355
905980,Gorgeous New Garden Suite,4848251,Jon,,Dunbar Southlands,49.23262716158899,-123.18303451191635,Entire home/apt,146,7,5,2015-06-27,0.15,2,356
4575779,1 bedroom Bachelor Sanctuary,22585863,Jon,,Dunbar Southlands,49.25739760995502,-123.18559511404919,Entire home/apt,80,1,0,,,1,358
8311126,5 bdr in Dunbar Village with View,11883405,Miss,,Dunbar Southlands,49.2421734582761,-123.18431747020352,Entire home/apt,300,7,0,,,5,59
6328070,A New Cozy Suite,13159848,Olivia,,Dunbar Southlands,49.24670224287423,-123.18683083906117,Entire home/apt,160,3,3,2015-08-03,0.46,2,365
2282114,West Side Oasis,19916,Cathy And Tom,,Dunbar Southlands,49.23932938063421,-123.18119261498013,Entire home/apt,250,10,2,2015-06-14,0.20,2,250
8212063,Spare Room in Basement Apartment,16131926,Jacob,,Dunbar Southlands,49.244205488194694,-123.18722782361192,Private room,49,1,1,2015-09-08,0.34,1,50
6327822,Westside Spacious Garden Suite,4848251,Jon,,Dunbar Southlands,49.257616871348546,-123.18229901514009,Entire home/apt,85,6,6,2015-09-06,1.08,2,328
1002804,Room for 2 Dunbar hom  20min to DT,5514406,Henry,,Dunbar Southlands,49.238861801989636,-123.18489525621871,Private room,69,3,6,2015-08-14,0.20,3,365
1002797,Budget Dunbar accommodation single,5514406,Henry,,Dunbar Southlands,49.23867145333037,-123.18557077535193,Private room,69,3,2,2015-08-18,0.53,3,334
7009401,Luxury Bright Garden Suite Near UBC,5422969,Julie,,Dunbar Southlands,49.246094657971724,-123.18466120881277,Entire home/apt,176,3,7,2015-08-31,1.53,2,0
7764603,Cosy arts and craft house in Dunbar,40834861,Alexandra,,Dunbar Southlands,49.238543452116566,-123.17965002088141,Entire home/apt,300,3,0,,,1,91
6502871,New Family Home: UBC Neighbouhood,28696236,Gabrielle,,Dunbar Southlands,49.23138765635779,-123.19273750870845,Entire home/apt,501,7,0,,,1,184
7975961,"clean and spacial, easy to go out",6951327,Shadow,,Dunbar Southlands,49.23485907514752,-123.18016948612832,Private room,85,2,0,,,2,88
3962088,Big Private Bedroom-Southlands/UBC,2253622,Alessandra,,Dunbar Southlands,49.22552603892458,-123.18457840277203,Private room,89,2,37,2015-11-01,2.63,1,363
8272126,Lovely Apartment-Kitsilano/Dunbar,30865925,Kaitlin,,Dunbar Southlands,49.25688002782642,-123.18583607550906,Entire home/apt,81,1,0,,,1,330
8583403,Cozy Private Room,11134926,Sarah,,Dunbar Southlands,49.25023554815207,-123.1803117048551,Private room,45,1,0,,,1,365
3090810,Beautiful Dunbar Family House,15720456,Elizabeth,,Dunbar Southlands,49.24313855783382,-123.17976346844655,Entire home/apt,199,2,0,,,1,52
6272098,"A Beautiful, Calm, Clean and Safe!",9785787,Heidie,,Dunbar Southlands,49.24270577490757,-123.19419261794336,Private room,150,3,0,,,1,365
8369226,Private Loft in the Cedars...,40538295,Aimee,,Dunbar Southlands,49.23022093597233,-123.18438144456177,Entire home/apt,95,2,0,,,1,176
8273415,Beautiful barn loft in Southlands,1367113,Elizabeth,,Dunbar Southlands,49.219671415259675,-123.17988716872568,Private room,69,1,1,2015-09-28,0.45,1,365
5812309,Spacious bedroom with west deck,13647506,Don & Trenna,,Dunbar Southlands,49.23317385434653,-123.18140333520654,Private room,109,1,2,2015-07-04,0.37,3,215
2864803,3 Bdrm Home in Vancouver Dunbar/UBC,13304931,The Redmond Family:,,Dunbar Southlands,49.23923634510883,-123.18723249747337,Entire home/apt,350,7,4,2015-08-11,0.25,2,221
8073207,Bright Bedroom near UBC!,33187799,UBC Christian Community House,,Dunbar Southlands,49.2454704282892,-123.18739350115386,Private room,49,2,0,,,4,72
2666430,Room in family home near UBC,13647506,Don & Trenna,,Dunbar Southlands,49.2326605490827,-123.18110418075854,Private room,72,1,2,2015-07-26,0.12,3,215
6238117,1 Bedroom Suite in Beautiful Dunbar,32373262,Brian,,Dunbar Southlands,49.25167435817669,-123.17878073299616,Entire home/apt,89,1,22,2015-10-22,3.46,1,335
5385927,Gorgeous Home w/Comfy Organic Beds!,1213213,Sheleana,,Dunbar Southlands,49.24773952458593,-123.17785493987502,Private room,250,1,4,2015-08-24,0.98,1,365
6301858,Spacious Bedroom with Ensuite,27541023,Keith,,Dunbar Southlands,49.23428837313736,-123.18980541064889,Private room,109,2,15,2015-09-24,2.33,1,89
8671970,"Quiet, spacious, comfortable room",9214271,Claudine,,Dunbar Southlands,49.23497138830383,-123.17796711291,Private room,80,1,0,,,4,298
7679165,Spacious & Bright Suite Upper Floor,37424972,Annie & Julia,,Dunbar Southlands,49.240110429218205,-123.18578800948413,Private room,80,1,8,2015-09-17,2.05,2,112
5774532,Room to rent in a cosy clean house,29959965,Fahad,,Dunbar Southlands,49.25617497505721,-123.18518876942304,Private room,35,1,1,2015-03-31,0.12,1,327
4469562,Charming Little  Single House,13159848,Olivia,,Dunbar Southlands,49.24701140156303,-123.18645191710587,Entire home/apt,200,1,4,2015-11-01,0.70,2,359
6370103,Christian community house near UBC,33187799,UBC Christian Community House,,Dunbar Southlands,49.246487150485336,-123.18602248637778,Private room,60,2,1,2015-06-24,0.18,4,209
8106615,quiet room with private entry+bath,42803362,Terry,,Dunbar Southlands,49.24707825248733,-123.17560582828722,Private room,59,1,13,2015-11-21,4.19,1,209
4976458,Charming Laneway House on West Side,10799015,Kathy,,Dunbar Southlands,49.24921216928008,-123.17258735394294,Entire home/apt,135,2,18,2015-11-22,2.55,2,130
5941855,Luxury New 3 Bedroom Coach House,7324823,Mike And Kate,,Dunbar Southlands,49.240233303224365,-123.18457356281846,Entire home/apt,295,3,14,2015-08-18,1.96,2,231
6370094,UBC community house,33187799,UBC Christian Community House,,Dunbar Southlands,49.24406652676987,-123.19297098667018,Private room,60,2,3,2015-08-02,0.56,4,365
9153857,5 minutes to UBC with mountain view,47655462,Sylvia,,Dunbar Southlands,49.2567839395013,-123.18438240992614,Private room,49,1,0,,,1,365
8163746,Amazing west side home w/garden,4501137,Pam,,Dunbar Southlands,49.231234182913354,-123.1827161012677,Entire home/apt,1000,5,0,,,1,365
7104918,Renovated Dunbar Heritage Home,6463096,Sarah,,Dunbar Southlands,49.25799820069351,-123.19422432894017,Entire home/apt,400,5,0,,,1,275
6055421,Beautiful quiet house near UBC!,5100920,Lucy,,Dunbar Southlands,49.24445911657649,-123.19282053803097,Private room,76,2,1,2015-08-03,0.24,1,332
6464960,Private basement suite - own entry,8557310,Shelley,,Dunbar Southlands,49.23901174465754,-123.18058551433833,Private room,129,3,12,2015-08-30,1.94,1,215
7234906,ModernGardenSuite in Dunbar,37880290,Nancy,,Dunbar Southlands,49.255750189125855,-123.18565805163806,Entire home/apt,150,3,7,2015-09-07,1.72,1,164
1511649,Nice room in Dunbar 20min to DT,5514406,Henry,,Dunbar Southlands,49.238603423692425,-123.18416388641285,Private room,69,3,6,2015-09-10,1.34,3,365
6726923,"Cottage in the City , Amazing views",4048878,Celine,,Dunbar Southlands,49.25664616669482,-123.18079289240524,Entire home/apt,350,7,0,,,1,320
7956508,Vancouver westside suite,40061935,David,,Dunbar Southlands,49.24950892363901,-123.17576304985202,Private room,65,1,13,2015-11-25,4.11,1,322
8595350,"Basement suit, one bedroom",45234264,Emmanuel,,Dunbar Southlands,49.250637959880486,-123.19384306074899,Private room,95,1,0,,,1,365
2598146,Basement Suite/ Close to UBC,13304931,The Redmond Family:,,Dunbar Southlands,49.237375660955664,-123.18278393902504,Entire home/apt,100,2,10,2015-08-26,0.53,2,334
8889470,Best View in Vancouver!,46511401,Jared,,Dunbar Southlands,49.25307694188906,-123.17708997674427,Private room,37,1,0,,,1,24
3908609,New Lanehouse Kerrisdale/UBC/Vancou,20246199,Jessica,,Dunbar Southlands,49.24015894236846,-123.17270126840597,Entire home/apt,135,2,5,2015-08-15,0.44,1,89
8251788,Private room in home near UBC,3042420,James,,Dunbar Southlands,49.23623055738363,-123.204090755801,Private room,160,1,0,,,1,365
6990050,New Detached Coach House w/carport,36648095,Rex,,Dunbar Southlands,49.240435146897056,-123.18607302592146,Entire home/apt,150,1,8,2015-08-15,1.51,1,134
