id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13712024,Victoria Inner Horbour Touch Place,80076595,Nick,Victoria,James Bay,48.420115192076516,-123.37724611106454,Entire home/apt,200,1,3,2016-07-14,3,1,88
13354580,Peaceful Garden Flat in James Bay,75726263,Chris,Victoria,James Bay,48.41325908390115,-123.3703130036871,Entire home/apt,150,1,10,2016-07-17,5.77,1,348
671383,275...Downtown !! Walk Everywhere!!,3402915,Scott,Victoria,James Bay,48.42091909743858,-123.37663294466579,Entire home/apt,359,1,53,2016-07-30,1.49,3,340
1055500,Carriage House B&B - Cottage ,4134834,Dan & Naoko,Victoria,James Bay,48.41494678607261,-123.3685145004115,Entire home/apt,136,1,91,2016-07-17,2.28,4,349
1080594,Carriage House B&B - Carriage Room,4134834,Dan & Naoko,Victoria,James Bay,48.4164954040779,-123.37011136964941,Private room,110,1,55,2016-07-30,1.38,4,345
1439161,"Carr. House B&B - ""Parliament Room""",4134834,Dan & Naoko,Victoria,James Bay,48.41606185935298,-123.36850388457512,Private room,78,1,51,2016-07-29,2.04,4,346
14201242,Modern James Bay Pad,57335697,Jeff,Victoria,James Bay,48.41639898793408,-123.37847590056975,Entire home/apt,295,3,0,,,1,163
5021463, Heritage Inn,25909173,Douglas,Victoria,James Bay,48.42061943146728,-123.37723968153497,Private room,180,1,10,2016-06-27,0.67,1,358
9255821,"Cozy, sunny studio in Victoria B.C.",30476660,Eve,Victoria,James Bay,48.41990848995442,-123.38062070952657,Private room,120,1,4,2016-03-21,0.56,1,334
1393334,Cute and Cozy Suite by the Harbour,5820187,Maeva And Dave,Victoria,James Bay,48.41732849877809,-123.36940627174725,Entire home/apt,128,2,117,2016-07-02,3.21,2,324
11379419,Suite in the heart of Victoria,47793250,Natalie,Victoria,James Bay,48.4117322061613,-123.37585854530988,Entire home/apt,95,3,13,2016-07-30,2.81,1,94
6872064,Sweet apartment in perfect location,12557281,Véronique,Victoria,James Bay,48.41513170564106,-123.37096010531884,Entire home/apt,90,2,47,2016-07-26,3.58,3,92
5992353,Charming James Bay Flat ,18056124,Michele,Victoria,James Bay,48.41853774461211,-123.37608357425052,Entire home/apt,120,2,107,2016-07-19,6.86,1,110
6762743,Airbnb Airbed & Comfy Couch by Sea,24385867,Winnie,Victoria,James Bay,48.40964773563197,-123.37232351411572,Shared room,39,1,8,2016-07-27,0.65,2,0
9349695,Sunny James Bay Character Suite,3621551,Jessica,Victoria,James Bay,48.41951183747945,-123.37751199786348,Entire home/apt,80,2,21,2016-07-18,4.38,2,329
13809386,2bdmCondo Victoria WorkMark Resort#5,19139775,Lorie,Victoria,James Bay,48.42149058631375,-123.38067681163315,Entire home/apt,320,1,2,2016-07-24,2,4,361
7869219,Historic James Bay Townhouse,199717,Sandra,Victoria,James Bay,48.42204443548158,-123.38196266224644,Private room,63,3,12,2016-07-18,1.05,2,327
7229267,Private room steps from downtown.,37852931,Katelyn,Victoria,James Bay,48.418503926635495,-123.38333072015908,Private room,85,1,61,2016-07-29,5.00,2,284
4720729,Pine Yoga Studio Bedroom*SPRHOST*,24385867,Winnie,Victoria,James Bay,48.41010402756342,-123.37271190919701,Private room,57,2,87,2016-07-26,4.88,2,276
12252166,Burgundy House - French flair room!,8947595,Mary,Victoria,James Bay,48.41417061483304,-123.37392221305211,Private room,100,2,12,2016-06-23,3.60,1,274
6739634,Jimmys Place,35292752,Jimmy,Victoria,James Bay,48.41644588266078,-123.37565113604683,Private room,85,1,17,2016-07-25,1.25,1,305
978771,Character Suite In Victorian Home 2,1216332,Ann,Victoria,James Bay,48.413036335844915,-123.36982562373653,Private room,50,2,96,2016-07-23,2.46,3,335
4382925,Heritage home in James Bay,12557281,Véronique,Victoria,James Bay,48.416228068374124,-123.3706381186304,Entire home/apt,120,3,82,2016-07-21,5.07,3,94
14102465,Victoria Gorgeous 2 BD Q/T/Q For6,21659291,Brielle,Victoria,James Bay,48.42254972931701,-123.37969835004812,Entire home/apt,163,1,0,,,1,212
3284029,Hop&Skip from the Coho /Clipper,3402915,Scott,Victoria,James Bay,48.420397884478675,-123.37674576599856,Entire home/apt,117,1,86,2016-07-23,3.40,3,322
6480655,Sun-filled top floor heritage home,12557281,Véronique,Victoria,James Bay,48.41577143498089,-123.37037379001454,Entire home/apt,100,2,56,2016-07-20,4.06,3,99
3984230,Townhouse in Historic James Bay,199717,Sandra,Victoria,James Bay,48.42159920231831,-123.38221621744891,Private room,85,3,34,2016-07-27,1.46,2,342
1038822,Dallas Rd & Menzies James Bay Suite,2001974,Martin,Victoria,James Bay,48.41176498704037,-123.37662795213478,Entire home/apt,110,4,8,2016-06-25,0.21,12,328
4190759,B&B float home Ocean views ..town2,3871629,Carene,Victoria,James Bay,48.42179106158544,-123.38508309661253,Private room,99,2,30,2016-07-07,1.71,2,290
9024578,Large Private Room in James Bay,27125221,Michelle,Victoria,James Bay,48.417053615500066,-123.37805425303026,Private room,65,2,14,2016-07-13,1.88,2,277
1021978,John Lewis House B&B Room 1,5626088,Bob And Becky,Victoria,James Bay,48.41070937049091,-123.37145206044623,Private room,136,2,10,2016-07-29,0.27,2,205
4277981,South Park Cottage,22209410,Alan& Elizabeth,Victoria,James Bay,48.41649398960344,-123.36664072486202,Entire home/apt,150,3,9,2016-06-17,0.44,1,320
405558,James Bay Menzies-Dallas Oceanfront Suite #2,2001974,Martin,Victoria,James Bay,48.41263284810017,-123.37702152311876,Entire home/apt,110,4,7,2016-07-15,0.14,12,242
1781080,One block from The Clipper and Coho,3402915,Scott,Victoria,James Bay,48.4215738944348,-123.37681365867725,Entire home/apt,124,1,94,2016-07-29,3.47,3,340
13157219,Luxury Townhouse no.1 on Quebec Street,14331633,Rasool,Victoria,James Bay,48.422082812490665,-123.37725907973358,Entire home/apt,150,1,7,2016-07-23,4.20,4,314
13417559,Comfy James Bay Room Close To Everything,72370001,Bren,Victoria,James Bay,48.419754059096284,-123.37826232318272,Private room,76,2,4,2016-07-17,2.35,1,72
13276119,Character Suite In Victorian Home 3,1216332,Ann,Victoria,James Bay,48.41345384073861,-123.3720060125969,Private room,59,2,5,2016-07-25,3.00,3,308
12761548,New private loft steps to downtown.,37852931,Katelyn,Victoria,James Bay,48.42155886247023,-123.38003356845134,Entire home/apt,120,2,13,2016-07-26,6.84,2,218
463027,Oceanside Suite in James Bay #3,2001974,Martin,Victoria,James Bay,48.41292143703861,-123.3777374259588,Entire home/apt,99,4,7,2016-07-10,0.14,12,130
774824,Seaside Chalet in James Bay,186785,Michael,Victoria,James Bay,48.42093143992985,-123.38110705122982,Entire home/apt,69,2,128,2016-07-15,3.03,2,212
11084827,"Victoria, BC Canada, 2 Bedroom #1",10981379,Jan,Victoria,James Bay,48.42135807153517,-123.3803672881488,Entire home/apt,162,1,2,2016-06-11,0.37,3,68
13079607,Victoria - 2,58385754,Manish,Victoria,James Bay,48.42106247851033,-123.38175375946001,Entire home/apt,158,1,2,2016-06-28,0.87,2,360
11085155,"Victoria, BC Canada, 3 Bedroom #2",10981379,Jan,Victoria,James Bay,48.42114928813808,-123.37988143086442,Entire home/apt,190,1,0,,,3,31
11084967,"Victoria, BC Canada, 2 Bedroom #2",10981379,Jan,Victoria,James Bay,48.42193470831316,-123.38205491196652,Entire home/apt,162,1,0,,,3,72
3972574,Bright home near ocean and downtown,10368393,Chris & Farheen,Victoria,James Bay,48.420661418049136,-123.3817591939024,Entire home/apt,235,7,0,,,2,307
11869164,The Tait on Dallas Rd,32614142,Valerie,Victoria,James Bay,48.41634474740828,-123.38612005514777,Entire home/apt,275,30,4,2016-06-21,0.94,12,304
10961251,Scenic Ogden Point Harbor View,54670144,Donovan,Victoria,James Bay,48.414764589863,-123.38285880587132,Entire home/apt,303,5,2,2016-07-19,1.30,1,313
876406,Private & Sunny House,4628474,Trish,Victoria,James Bay,48.41450956347324,-123.37751708607735,Entire home/apt,120,3,20,2016-07-24,0.57,1,218
10506018,Condo in Victoria on the Port,32651183,Christian,Victoria,James Bay,48.421555052109895,-123.38029803642053,Entire home/apt,287,1,0,,,1,359
12171456,Sea and town,65385961,Mazur,Victoria,James Bay,48.41221372253958,-123.3757015568353,Entire home/apt,50,14,0,,,1,7
11100192,Victoria Garden Suite in James Bay,16875916,Elicia,Victoria,James Bay,48.415596852082956,-123.37971273813217,Entire home/apt,106,1,0,,,1,0
