id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6457775,Room in trendy/shared/center appart,13116516,Julia,,Margareten,48.187179413343166,16.346731343459478,Private room,40,2,0,,,1,327
6729172,25m2 pure Vienna-style atmosphere,8339587,Georg,,Margareten,48.18835436390957,16.352019423189326,Private room,30,1,1,2015-07-06,1,1,134
1455192,großes Zimmer in Wiener Altbau,7790950,Barbara,,Margareten,48.18722755925811,16.36002858338921,Private room,42,3,62,2015-06-09,2.63,1,315
783453,Central Home Studio @ Naschmarkt,4130626,Adnan,,Margareten,48.1892285287172,16.35166797630713,Entire home/apt,90,3,2,2013-05-16,0.06,1,365
840819,Top Location Top Apartment,4391156,Krzysztof,,Margareten,48.19498317813467,16.359615898073457,Entire home/apt,85,3,27,2015-07-13,0.87,1,262
3692427,Light flooded apratment in the cent,18798654,All-In-One,,Margareten,48.1897321325942,16.35197658458754,Entire home/apt,80,6,1,2015-01-04,0.15,7,321
6973025,93sqm central family-flat w/balcony,36557992,Therese & Thomas,,Margareten,48.18366882531486,16.357323243501323,Entire home/apt,79,2,0,,,1,351
5754530,jasjxas,10968870,Valentina,,Margareten,48.18553349486372,16.35136868026017,Private room,40,1,0,,,1,365
2193378,Großes Zimmer nur 10 min von City!,11185820,Uschi,,Margareten,48.18785145617702,16.364617896009147,Private room,35,1,5,2015-06-23,1.26,2,356
358376,"2 Bdr,Vienna- Belvedere, Apt #15",1814038,Alan,,Margareten,48.185437331358976,16.366151098726704,Entire home/apt,140,3,9,2015-04-18,0.23,9,333
7137620,Nice room in the center of Vienna,37384442,Armin,,Margareten,48.18828299932289,16.352074210855697,Private room,22,2,0,,,1,259
3160115,central design apartment,16034253,Viktoria,,Margareten,48.1896959497421,16.359030319895012,Entire home/apt,90,2,18,2015-06-24,1.78,1,330
